Date,Open,High,Low,Close,Volume
2024-09-01,0.2388,0.2399,0.222,0.2252,6420143.9
2024-09-02,0.2252,0.2371,0.223,0.2347,6984714.1
2024-09-03,0.2347,0.2382,0.222,0.2225,5980786.8
2024-09-04,0.2225,0.2919,0.2106,0.2772,135712830.5
2024-09-05,0.2773,0.2834,0.2509,0.2547,52798370.3
2024-09-06,0.2547,0.2617,0.2423,0.2577,42551514.8
2024-09-07,0.2577,0.2633,0.2488,0.251,22415844.3
2024-09-08,0.2509,0.2546,0.2454,0.251,17456232.5
2024-09-09,0.251,0.2666,0.2457,0.2629,22165341.6
2024-09-10,0.2631,0.2639,0.2556,0.26,13584880.7
2024-09-11,0.2601,0.2604,0.24,0.2475,17313059.9
2024-09-12,0.2474,0.2574,0.2464,0.2572,14190516.4
2024-09-13,0.257,0.2729,0.2567,0.2671,31366105.1
2024-09-14,0.267,0.2687,0.26,0.2621,8039021.0
2024-09-15,0.262,0.2624,0.2429,0.2456,11762816.0
2024-09-16,0.2455,0.2455,0.2322,0.2359,27250185.0
2024-09-17,0.2358,0.2467,0.2335,0.2397,14197913.6
2024-09-18,0.24,0.2534,0.2338,0.2532,17618109.5
2024-09-19,0.2533,0.2739,0.2533,0.2698,27998505.8
2024-09-20,0.2699,0.2821,0.2603,0.2787,24201757.1
2024-09-21,0.2787,0.2907,0.2715,0.2896,12043911.2
2024-09-22,0.2896,0.2902,0.2685,0.276,16312779.5
2024-09-23,0.2762,0.2848,0.2702,0.2831,11467850.5
2024-09-24,0.2833,0.2958,0.2764,0.2924,15692211.3
