Date,Open,High,Low,Close,Volume
2024-09-01,2.115,2.131,1.969,1.988,955562.9
2024-09-02,1.986,2.165,1.967,2.127,1037448.1
2024-09-03,2.127,2.157,1.966,1.972,723079.5
2024-09-04,1.972,2.086,1.837,2.044,1626938.2
2024-09-05,2.044,2.091,1.984,2.025,912849.2
2024-09-06,2.023,2.097,1.854,1.926,2148503.2
2024-09-07,1.926,2.055,1.91,1.99,939013.7
2024-09-08,1.99,2.088,1.97,2.044,1165855.3
2024-09-09,2.047,2.19,2.017,2.139,1707795.6
2024-09-10,2.139,2.206,2.093,2.186,1108134.9
2024-09-11,2.188,2.249,2.056,2.184,2194345.1
2024-09-12,2.185,2.293,2.176,2.289,1759537.3
2024-09-13,2.289,2.309,2.205,2.284,1466629.3
2024-09-14,2.286,2.322,2.246,2.285,895078.0
2024-09-15,2.285,2.303,2.141,2.156,786653.8
2024-09-16,2.153,2.177,2.035,2.073,1053057.2
2024-09-17,2.072,2.249,2.028,2.239,1163134.5
2024-09-18,2.237,2.394,2.124,2.361,2455113.1
2024-09-19,2.364,2.451,2.334,2.361,1810377.3
2024-09-20,2.361,2.445,2.307,2.371,1861294.2
2024-09-21,2.371,2.394,2.308,2.381,1790240.5
2024-09-22,2.38,2.559,2.327,2.443,5055823.7
2024-09-23,2.445,2.505,2.373,2.441,3187117.4
2024-09-24,2.447,2.591,2.386,2.547,2291141.0
