Date,Open,High,Low,Close,Volume
2024-09-01,0.1277,0.1444,0.1252,0.1263,53528274.0
2024-09-02,0.1262,0.1365,0.1252,0.1303,27313180.4
2024-09-03,0.1303,0.1349,0.125,0.125,17365707.9
2024-09-04,0.1252,0.1293,0.1196,0.1269,20295131.3
2024-09-05,0.1268,0.1272,0.1206,0.1222,8933469.0
2024-09-06,0.1222,0.1245,0.115,0.1192,10774949.4
2024-09-07,0.1194,0.1241,0.1185,0.1212,6122559.7
2024-09-08,0.1212,0.1283,0.1206,0.1245,15011880.4
2024-09-09,0.1245,0.132,0.1229,0.1284,16705726.6
2024-09-10,0.1285,0.1301,0.1269,0.1278,10267059.2
2024-09-11,0.1279,0.1281,0.123,0.1241,13381164.2
2024-09-12,0.1241,0.129,0.124,0.1272,6697004.3
2024-09-13,0.1272,0.132,0.1244,0.1303,10424746.8
2024-09-14,0.1303,0.1305,0.1265,0.1277,4166564.6
2024-09-15,0.1277,0.1295,0.123,0.1236,5722292.4
2024-09-16,0.1236,0.1241,0.1196,0.1215,6384402.4
2024-09-17,0.1216,0.126,0.1198,0.1235,4674245.1
2024-09-18,0.1236,0.1255,0.12,0.1255,5972004.2
2024-09-19,0.1256,0.1333,0.1248,0.1298,13243664.2
2024-09-20,0.1299,0.1388,0.1287,0.1349,24128452.6
2024-09-21,0.1347,0.137,0.131,0.1351,11835408.0
2024-09-22,0.135,0.1353,0.1269,0.1312,10401212.0
2024-09-23,0.1312,0.1378,0.1292,0.1339,12144650.9
2024-09-24,0.1339,0.1385,0.1321,0.1356,16147283.1
