Date,Open,High,Low,Close,Volume
2024-09-01,1.056,1.06,0.993,1.006,613653.7
2024-09-02,1.005,1.072,1.004,1.065,434917.3
2024-09-03,1.066,1.101,1.048,1.051,837282.6
2024-09-04,1.049,1.082,0.982,1.062,880980.3
2024-09-05,1.062,1.069,1.025,1.036,391405.8
2024-09-06,1.036,1.05,0.951,0.985,1565360.6
2024-09-07,0.985,1.024,0.977,0.991,471522.3
2024-09-08,0.992,1.034,0.983,1.018,436434.8
2024-09-09,1.02,1.087,1.018,1.073,530400.8
2024-09-10,1.075,1.113,1.059,1.096,503820.4
2024-09-11,1.096,1.1,1.038,1.066,525692.9
2024-09-12,1.067,1.119,1.066,1.114,437583.1
2024-09-13,1.114,1.131,1.079,1.122,407807.4
2024-09-14,1.122,1.139,1.083,1.131,563884.2
2024-09-15,1.132,1.138,1.076,1.087,521089.5
2024-09-16,1.087,1.093,1.029,1.048,610557.1
2024-09-17,1.047,1.126,1.028,1.118,707477.7
2024-09-18,1.118,1.167,1.085,1.166,648724.8
2024-09-19,1.166,1.215,1.166,1.198,593473.0
2024-09-20,1.2,1.246,1.18,1.24,1397742.8
2024-09-21,1.241,1.284,1.223,1.269,703501.2
2024-09-22,1.268,1.268,1.205,1.229,520015.0
2024-09-23,1.229,1.288,1.206,1.269,660563.0
2024-09-24,1.271,1.282,1.225,1.271,720383.2
