Date,Open,High,Low,Close,Volume
2024-09-01,1.691,1.729,1.643,1.653,387977.33
2024-09-02,1.654,1.737,1.64,1.734,253337.36
2024-09-03,1.735,1.757,1.671,1.676,322595.82
2024-09-04,1.676,1.74,1.609,1.705,316764.01
2024-09-05,1.706,1.714,1.644,1.664,247166.98
2024-09-06,1.664,1.697,1.577,1.608,373033.44
2024-09-07,1.608,1.66,1.6,1.642,204922.87
2024-09-08,1.641,1.687,1.631,1.676,216866.18
2024-09-09,1.675,1.735,1.661,1.726,270946.42
2024-09-10,1.725,1.767,1.715,1.753,184374.53
2024-09-11,1.753,1.764,1.702,1.761,168878.7
2024-09-12,1.761,1.776,1.733,1.752,160893.92
2024-09-13,1.751,1.771,1.735,1.759,124982.3
2024-09-14,1.759,1.76,1.739,1.746,103776.58
2024-09-15,1.745,1.75,1.657,1.668,198256.78
2024-09-16,1.668,1.698,1.641,1.684,249524.66
2024-09-17,1.684,1.707,1.661,1.697,221514.77
2024-09-18,1.699,1.726,1.65,1.723,195295.9
2024-09-19,1.723,1.788,1.703,1.708,532445.9
2024-09-20,1.709,1.77,1.683,1.745,357357.62
2024-09-21,1.745,1.761,1.72,1.755,160508.01
2024-09-22,1.755,1.763,1.705,1.734,162632.61
2024-09-23,1.734,1.771,1.711,1.749,207218.33
2024-09-24,1.749,1.776,1.732,1.774,162285.77
