Date,Open,High,Low,Close,Volume
2024-09-01,0.4812,0.4908,0.4518,0.4555,4136039.1
2024-09-02,0.4551,0.5284,0.4547,0.5157,7726224.7
2024-09-03,0.516,0.5368,0.4902,0.493,5218957.0
2024-09-04,0.4936,0.5071,0.4685,0.4958,4910216.3
2024-09-05,0.495,0.4962,0.4697,0.479,2329106.5
2024-09-06,0.4784,0.4943,0.4506,0.4686,3305139.8
2024-09-07,0.4684,0.4786,0.4537,0.4596,2448106.1
2024-09-08,0.4593,0.5014,0.4584,0.4899,7411894.7
2024-09-09,0.4907,0.5125,0.4886,0.5079,2535393.9
2024-09-10,0.5083,0.5565,0.502,0.5434,4249396.5
2024-09-11,0.544,0.5489,0.5094,0.5403,4518834.7
2024-09-12,0.5412,0.5863,0.5407,0.5857,5161314.4
2024-09-13,0.5857,0.5951,0.5702,0.5774,3653472.0
2024-09-14,0.5775,0.5785,0.55,0.5583,2079252.9
2024-09-15,0.5582,0.5755,0.5285,0.5363,2836484.1
2024-09-16,0.5352,0.5392,0.5045,0.513,1962108.8
2024-09-17,0.513,0.57,0.5027,0.5431,5865688.2
2024-09-18,0.5432,0.5704,0.5138,0.5597,3922833.5
2024-09-19,0.5599,0.6021,0.5507,0.5924,4545931.6
2024-09-20,0.5936,0.6541,0.5906,0.6284,7009710.4
2024-09-21,0.6266,0.6356,0.6111,0.6275,1685523.8
2024-09-22,0.6275,0.6275,0.5929,0.6118,1928408.4
2024-09-23,0.6115,0.6686,0.5965,0.6459,6859139.3
2024-09-24,0.6456,0.6773,0.6347,0.6414,4332419.2
