Date,Open,High,Low,Close,Volume
2024-09-01,0.2211,0.2219,0.2097,0.2103,3122763.54
2024-09-02,0.2103,0.2205,0.2083,0.2181,3909147.49
2024-09-03,0.2181,0.2205,0.1998,0.2001,5036912.62
2024-09-04,0.2001,0.2111,0.1911,0.2068,7503533.44
2024-09-05,0.2069,0.2123,0.2018,0.2036,3542865.03
2024-09-06,0.2035,0.2103,0.1923,0.199,5558479.45
2024-09-07,0.199,0.212,0.198,0.2064,3962337.72
2024-09-08,0.2065,0.2131,0.2054,0.2094,2766224.92
2024-09-09,0.2092,0.2228,0.2089,0.2191,4397446.88
2024-09-10,0.219,0.2208,0.2147,0.2177,3384768.04
2024-09-11,0.2177,0.2177,0.2068,0.2095,5924310.53
2024-09-12,0.2095,0.2169,0.2084,0.2164,7652582.98
2024-09-13,0.2165,0.2285,0.214,0.226,6334860.33
2024-09-14,0.2259,0.2268,0.2197,0.2227,2692422.51
2024-09-15,0.2228,0.2263,0.2133,0.2147,4907460.44
2024-09-16,0.2145,0.2151,0.2022,0.2053,5192816.21
2024-09-17,0.205,0.2186,0.2029,0.2155,4412464.93
2024-09-18,0.2155,0.2247,0.2081,0.2205,8087300.35
2024-09-19,0.2206,0.2361,0.2206,0.233,7984734.58
2024-09-20,0.2335,0.2412,0.23,0.2363,4828218.63
2024-09-21,0.2361,0.2413,0.231,0.2407,3245377.69
2024-09-22,0.2406,0.2407,0.2255,0.2326,5073809.06
2024-09-23,0.2327,0.2428,0.2279,0.2345,7063634.3
2024-09-24,0.2342,0.2417,0.2278,0.2403,7977887.16
