Date,Open,High,Low,Close,Volume
2024-09-01,532.9,533.2,507.7,512.4,203698.867
2024-09-02,512.3,530.2,501.5,526.3,262984.426
2024-09-03,526.4,538.4,517.9,518.7,224481.65
2024-09-04,518.8,523.7,495.8,507.6,435892.306
2024-09-05,507.6,512.9,496.7,502.4,177237.32
2024-09-06,502.4,509.9,471.3,487.2,357704.727
2024-09-07,487.3,499.5,482.9,493.5,140367.312
2024-09-08,493.6,506.9,490.7,503.1,135677.173
2024-09-09,503.2,525.7,501.7,518.7,207528.54
2024-09-10,518.7,524.3,509.2,517.0,161417.812
2024-09-11,517.0,535.4,506.5,530.1,204079.602
2024-09-12,530.2,548.7,530.0,544.5,273877.8
2024-09-13,544.6,559.7,538.7,556.4,276743.273
2024-09-14,556.4,559.2,547.5,553.3,138432.964
2024-09-15,553.4,561.9,546.0,553.4,205254.79
2024-09-16,553.4,555.2,527.0,533.7,267953.69
2024-09-17,533.7,552.7,529.0,546.2,195288.36
2024-09-18,546.2,559.7,536.8,559.5,201182.985
2024-09-19,559.5,572.2,553.0,567.0,308427.742
2024-09-20,566.9,577.1,555.0,569.0,257077.709
2024-09-21,569.1,590.0,566.4,588.6,208752.23
2024-09-22,588.7,594.6,576.4,588.7,202978.791
2024-09-23,588.7,616.0,583.4,604.5,376010.207
2024-09-24,604.5,613.4,598.5,605.9,261622.131
