Date,Open,High,Low,Close,Volume
2024-09-01,1.3182,1.3362,1.1586,1.167,7475893.0
2024-09-02,1.1669,1.2308,1.1484,1.17,5751681.9
2024-09-03,1.1711,1.2074,1.1,1.12,5191168.6
2024-09-04,1.122,1.1596,1.09,1.1383,4030329.2
2024-09-05,1.1378,1.1385,1.1028,1.1151,2464981.5
2024-09-06,1.1144,1.1901,1.0984,1.1796,7327413.4
2024-09-07,1.1799,1.4622,1.1753,1.3744,17725547.6
2024-09-08,1.3745,1.4555,1.3735,1.4108,11169214.9
2024-09-09,1.4115,1.5554,1.3875,1.5212,6154469.3
2024-09-10,1.5209,1.5267,1.4524,1.4893,6066029.9
2024-09-11,1.4904,1.502,1.4262,1.4863,5308469.2
2024-09-12,1.4864,1.7,1.4834,1.6745,11789867.9
2024-09-13,1.6751,1.6812,1.4031,1.5096,13116292.1
2024-09-14,1.5102,1.532,1.4768,1.4819,3873393.8
2024-09-15,1.4802,1.4911,1.4305,1.4411,2933889.2
2024-09-16,1.441,1.4691,1.4173,1.4573,2003006.8
2024-09-17,1.4564,1.527,1.4151,1.5266,2758656.2
2024-09-18,1.5267,1.6156,1.4936,1.5548,4792459.8
2024-09-19,1.5567,1.5724,1.4788,1.4879,4705370.8
2024-09-20,1.4874,1.6257,1.358,1.3832,14973509.3
2024-09-21,1.3826,1.3954,1.2665,1.2797,7385393.7
2024-09-22,1.2794,1.2877,1.1806,1.2069,10505211.0
2024-09-23,1.2068,1.2698,1.1839,1.2473,8311251.9
2024-09-24,1.2468,1.2558,1.195,1.224,5121867.1
