Date,Open,High,Low,Close,Volume
2024-09-01,0.0529,0.0531,0.0497,0.0502,46383634.0
2024-09-02,0.0501,0.0527,0.0501,0.0525,38986738.0
2024-09-03,0.0525,0.0531,0.0501,0.0503,27751856.0
2024-09-04,0.0503,0.0524,0.0478,0.0517,48138757.0
2024-09-05,0.0516,0.0518,0.0494,0.0498,32051728.0
2024-09-06,0.0498,0.051,0.0471,0.0487,45809171.0
2024-09-07,0.0486,0.051,0.0483,0.0502,34025834.0
2024-09-08,0.0501,0.0523,0.05,0.0517,20411301.0
2024-09-09,0.0518,0.0536,0.0515,0.0531,41213249.0
2024-09-10,0.053,0.0537,0.0524,0.0531,28755863.0
2024-09-11,0.0532,0.0533,0.0506,0.052,46313171.0
2024-09-12,0.0521,0.0533,0.052,0.0532,36524820.0
2024-09-13,0.0532,0.0544,0.0526,0.0539,49878752.0
2024-09-14,0.054,0.0543,0.053,0.0536,25857684.0
2024-09-15,0.0536,0.0539,0.0515,0.0519,27700248.0
2024-09-16,0.0519,0.0522,0.0506,0.0511,36225177.0
2024-09-17,0.051,0.0528,0.0506,0.052,34556949.0
2024-09-18,0.052,0.0539,0.0504,0.0539,44075425.0
2024-09-19,0.0538,0.0563,0.0538,0.0555,56845775.0
2024-09-20,0.0555,0.0574,0.055,0.0573,46720424.0
2024-09-21,0.0573,0.0598,0.0565,0.0595,52757988.0
2024-09-22,0.0595,0.0596,0.0562,0.0576,42304745.0
2024-09-23,0.0575,0.0625,0.0565,0.0613,138497523.0
2024-09-24,0.0612,0.0624,0.0593,0.0617,50483405.0
