Date,Open,High,Low,Close,Volume
2024-09-01,23.49,23.49,22.58,22.72,36464.189
2024-09-02,22.72,23.94,22.6,23.89,56503.237
2024-09-03,23.9,25.25,23.81,24.17,99172.32
2024-09-04,24.19,24.96,23.24,24.04,125278.471
2024-09-05,24.05,24.2,23.23,24.02,55560.613
2024-09-06,24.01,24.19,22.58,23.2,59440.598
2024-09-07,23.18,23.79,22.9,23.63,37273.843
2024-09-08,23.59,24.36,23.43,23.91,52960.434
2024-09-09,23.96,25.19,23.73,24.26,67231.035
2024-09-10,24.29,24.29,23.82,24.01,42075.869
2024-09-11,24.0,24.1,23.3,23.88,43786.534
2024-09-12,23.88,24.34,23.83,24.02,31586.82
2024-09-13,24.03,24.5,23.66,24.39,39061.05
2024-09-14,24.38,24.55,24.08,24.51,39658.723
2024-09-15,24.5,24.73,23.41,23.57,37039.82
2024-09-16,23.57,23.64,23.04,23.4,66994.757
2024-09-17,23.4,24.23,23.15,23.97,37245.23
2024-09-18,23.97,24.72,23.26,24.72,46230.589
2024-09-19,24.72,25.5,24.72,25.07,58551.809
2024-09-20,25.06,25.45,24.57,25.16,53852.365
2024-09-21,25.17,25.57,24.9,25.47,35191.534
2024-09-22,25.46,25.51,24.38,24.92,38347.598
2024-09-23,24.93,25.42,24.64,25.11,49781.999
2024-09-24,25.1,25.97,24.9,25.83,55603.011
