Date,Open,High,Low,Close,Volume
2024-09-01,1.414,1.443,1.371,1.389,461411.41
2024-09-02,1.389,1.487,1.385,1.484,647184.33
2024-09-03,1.485,1.496,1.383,1.386,461786.18
2024-09-04,1.387,1.441,1.314,1.415,470263.96
2024-09-05,1.415,1.426,1.322,1.37,430808.24
2024-09-06,1.37,1.401,1.27,1.324,567997.45
2024-09-07,1.324,1.384,1.309,1.336,324623.95
2024-09-08,1.334,1.397,1.328,1.391,280396.11
2024-09-09,1.389,1.493,1.385,1.479,458002.48
2024-09-10,1.476,1.527,1.453,1.519,373087.03
2024-09-11,1.519,1.522,1.428,1.484,429505.32
2024-09-12,1.488,1.524,1.477,1.518,315874.54
2024-09-13,1.521,1.558,1.498,1.549,308650.2
2024-09-14,1.549,1.552,1.509,1.53,262616.31
2024-09-15,1.53,1.545,1.434,1.443,325709.98
2024-09-16,1.445,1.446,1.38,1.395,329663.82
2024-09-17,1.397,1.469,1.384,1.448,294550.6
2024-09-18,1.447,1.481,1.393,1.481,364070.36
2024-09-19,1.479,1.605,1.479,1.546,729191.67
2024-09-20,1.546,1.627,1.518,1.625,720885.82
2024-09-21,1.623,1.662,1.57,1.657,369479.69
2024-09-22,1.658,1.66,1.535,1.589,417765.66
2024-09-23,1.586,1.658,1.552,1.635,366663.15
2024-09-24,1.633,1.68,1.604,1.674,460002.8
