Date,Open,High,Low,Close,Volume
2024-09-01,0.1093,0.11,0.1039,0.1046,9386535.1
2024-09-02,0.1045,0.1133,0.104,0.1113,8674355.1
2024-09-03,0.1115,0.1145,0.1068,0.107,9523597.2
2024-09-04,0.1069,0.1121,0.1004,0.1104,14627201.4
2024-09-05,0.1103,0.1115,0.1059,0.1076,8532650.3
2024-09-06,0.1076,0.1092,0.0973,0.1009,13977022.4
2024-09-07,0.1009,0.1035,0.1001,0.1019,9833469.9
2024-09-08,0.1019,0.1053,0.101,0.1036,6700080.8
2024-09-09,0.1037,0.1101,0.1007,0.1086,23808202.4
2024-09-10,0.1086,0.1098,0.1064,0.1086,9399840.6
2024-09-11,0.1087,0.1087,0.1022,0.1064,11299438.1
2024-09-12,0.1064,0.1086,0.1046,0.1084,7013484.6
2024-09-13,0.1083,0.1124,0.1041,0.1104,13922554.6
2024-09-14,0.1104,0.1109,0.1062,0.1082,6363334.6
2024-09-15,0.1079,0.1094,0.1017,0.1033,6885168.3
2024-09-16,0.1032,0.1043,0.0976,0.0987,10008726.5
2024-09-17,0.0986,0.1038,0.0975,0.1021,8830281.2
2024-09-18,0.1021,0.109,0.1001,0.109,22439084.9
2024-09-19,0.1088,0.1288,0.1084,0.1205,69925302.9
2024-09-20,0.1204,0.159,0.1201,0.1445,346430067.5
2024-09-21,0.1445,0.1604,0.137,0.1448,175472414.8
2024-09-22,0.1449,0.1485,0.1355,0.1454,64093603.5
2024-09-23,0.1456,0.151,0.1367,0.145,70086805.0
2024-09-24,0.1451,0.1605,0.1392,0.1518,102667948.9
