Date,Open,High,Low,Close,Volume
2024-09-01,18.41,18.41,17.46,17.62,230763.08
2024-09-02,17.62,18.42,17.52,18.27,234924.15
2024-09-03,18.27,18.41,17.61,17.66,176907.54
2024-09-04,17.65,18.29,16.82,18.07,441003.11
2024-09-05,18.07,18.16,17.46,17.61,426686.88
2024-09-06,17.61,17.87,16.73,17.3,763752.67
2024-09-07,17.29,17.75,17.24,17.63,167124.07
2024-09-08,17.64,18.01,17.55,17.94,171184.64
2024-09-09,17.96,18.6,17.78,18.34,303486.53
2024-09-10,18.35,18.72,18.13,18.56,292063.03
2024-09-11,18.56,18.6,17.94,18.46,296036.49
2024-09-12,18.46,18.63,18.31,18.56,219289.41
2024-09-13,18.56,18.92,18.25,18.85,288402.59
2024-09-14,18.85,18.88,18.46,18.61,123515.71
2024-09-15,18.6,18.65,17.67,17.79,247689.07
2024-09-16,17.78,17.89,17.48,17.75,243491.16
2024-09-17,17.74,18.27,17.62,17.98,261913.2
2024-09-18,17.98,18.34,17.49,18.32,286913.37
2024-09-19,18.33,19.2,18.33,18.79,461997.94
2024-09-20,18.79,19.28,18.42,19.0,661023.48
2024-09-21,19.0,19.46,18.85,19.37,261519.99
2024-09-22,19.36,19.51,18.44,18.9,288833.97
2024-09-23,18.9,19.42,18.53,19.1,350430.2
2024-09-24,19.1,19.53,18.82,19.42,458373.95
