Date,Open,High,Low,Close,Volume
2024-09-01,1.1051,1.1056,1.1027,1.103,10198405.9
2024-09-02,1.103,1.1069,1.1027,1.1058,22707353.9
2024-09-03,1.1058,1.1062,1.1023,1.1046,23710893.0
2024-09-04,1.1046,1.109,1.1034,1.1072,26378935.8
2024-09-05,1.1072,1.1199,1.1068,1.1107,28308023.2
2024-09-06,1.1107,1.1152,1.1001,1.1033,41340654.0
2024-09-07,1.1034,1.1062,1.1033,1.105,11697775.7
2024-09-08,1.105,1.106,1.105,1.1059,7290025.4
2024-09-09,1.1059,1.1068,1.1023,1.1028,23257580.9
2024-09-10,1.1028,1.1043,1.1012,1.1015,20271021.7
2024-09-11,1.1015,1.1047,1.0997,1.1008,25041223.7
2024-09-12,1.1008,1.1071,1.1002,1.1071,21724634.8
2024-09-13,1.107,1.1096,1.107,1.1075,20022960.7
2024-09-14,1.1075,1.111,1.1075,1.1082,7952797.5
2024-09-15,1.1082,1.1087,1.1076,1.1083,7157266.9
2024-09-16,1.1083,1.1146,1.108,1.1137,23800006.6
2024-09-17,1.1136,1.12,1.1106,1.1119,23060937.7
2024-09-18,1.1119,1.1185,1.1096,1.111,27633469.9
2024-09-19,1.1111,1.1171,1.1067,1.1164,29517419.9
2024-09-20,1.1164,1.1183,1.1133,1.116,21357712.8
2024-09-21,1.116,1.1162,1.1153,1.1156,7869726.0
2024-09-22,1.1155,1.116,1.1152,1.1156,8120615.2
2024-09-23,1.1155,1.1169,1.1081,1.1106,24668640.9
2024-09-24,1.1105,1.1195,1.11,1.1188,21786366.2
