Date,Open,High,Low,Close,Volume
2024-09-01,0.1158,0.1161,0.1089,0.1098,25034235.3
2024-09-02,0.1098,0.1176,0.1094,0.117,23175834.6
2024-09-03,0.1171,0.1189,0.112,0.1123,26341749.2
2024-09-04,0.1124,0.1329,0.1076,0.1263,207029485.8
2024-09-05,0.1263,0.1339,0.1165,0.1176,123438199.6
2024-09-06,0.1176,0.1186,0.1067,0.1103,91600494.9
2024-09-07,0.1103,0.1128,0.1095,0.111,25732554.2
2024-09-08,0.111,0.1176,0.1104,0.1164,30456897.4
2024-09-09,0.1164,0.1349,0.1161,0.1322,98409321.3
2024-09-10,0.1323,0.1496,0.1292,0.1463,115929772.7
2024-09-11,0.1463,0.1541,0.1404,0.1457,121385839.8
2024-09-12,0.1458,0.146,0.1386,0.1418,61458986.7
2024-09-13,0.1416,0.1416,0.1329,0.137,58824297.1
2024-09-14,0.137,0.1377,0.1337,0.1354,37590115.3
2024-09-15,0.1354,0.1396,0.1294,0.1311,84959529.2
2024-09-16,0.1311,0.1318,0.1221,0.124,84147272.9
2024-09-17,0.124,0.1272,0.1212,0.1245,47545245.6
2024-09-18,0.1246,0.1275,0.119,0.1274,34027235.5
2024-09-19,0.1275,0.1332,0.1271,0.1317,49520187.4
2024-09-20,0.1318,0.139,0.1294,0.1363,47269773.5
2024-09-21,0.1363,0.1426,0.1329,0.1418,71071689.0
2024-09-22,0.1418,0.1421,0.1333,0.1375,79836417.4
2024-09-23,0.1376,0.1542,0.1346,0.1484,90201958.2
2024-09-24,0.1483,0.1589,0.1442,0.1586,103263028.8
