Date,Open,High,Low,Close,Volume
2024-09-01,0.001595,0.00161,0.00151,0.001528,818194627.0
2024-09-02,0.001529,0.00162,0.001527,0.001606,967740739.0
2024-09-03,0.001606,0.001629,0.001531,0.001549,765667230.0
2024-09-04,0.00155,0.001588,0.001466,0.001558,1156602332.0
2024-09-05,0.001557,0.001567,0.001477,0.001511,996227840.0
2024-09-06,0.00151,0.001532,0.001392,0.001447,964068858.0
2024-09-07,0.001446,0.001505,0.001433,0.001475,390399672.0
2024-09-08,0.001476,0.001578,0.001472,0.001544,1841323359.0
2024-09-09,0.001546,0.001614,0.001533,0.001588,1127383172.0
2024-09-10,0.00159,0.001732,0.001561,0.001709,2607892935.0
2024-09-11,0.001709,0.001715,0.001557,0.001601,1579924460.0
2024-09-12,0.0016,0.001651,0.001595,0.00162,878705337.0
2024-09-13,0.001621,0.001658,0.00159,0.001644,720099381.0
2024-09-14,0.001644,0.00169,0.001604,0.001631,649179031.0
2024-09-15,0.00163,0.001693,0.001553,0.001565,926559104.0
2024-09-16,0.001565,0.001583,0.001504,0.001528,846498866.0
2024-09-17,0.001527,0.001611,0.001514,0.001601,716594503.0
2024-09-18,0.001601,0.001686,0.001565,0.001684,1444983092.0
2024-09-19,0.001686,0.001746,0.001685,0.001702,1188712193.0
2024-09-20,0.001706,0.001794,0.001668,0.001745,1043293770.0
2024-09-21,0.001745,0.001784,0.001707,0.001781,492614456.0
2024-09-22,0.001781,0.001785,0.001663,0.001707,704783154.0
2024-09-23,0.001706,0.001792,0.001674,0.001736,967010784.0
2024-09-24,0.001736,0.00191,0.001703,0.001878,2584801357.0
