Date,Open,High,Low,Close,Volume
2024-09-01,0.3344,0.3363,0.3209,0.3229,3048146.0
2024-09-02,0.3226,0.3449,0.3208,0.3431,2457466.0
2024-09-03,0.3431,0.3483,0.3274,0.328,2977082.0
2024-09-04,0.3281,0.3407,0.3135,0.3351,3668913.0
2024-09-05,0.3352,0.3374,0.3208,0.3226,2378874.0
2024-09-06,0.3227,0.3304,0.3005,0.3122,6359820.0
2024-09-07,0.3122,0.3246,0.3101,0.3165,1723255.0
2024-09-08,0.3167,0.3296,0.315,0.3267,2220010.0
2024-09-09,0.3265,0.3424,0.3244,0.3381,3176626.0
2024-09-10,0.3383,0.3465,0.3352,0.3417,1580742.0
2024-09-11,0.3419,0.3421,0.3254,0.3327,2622890.0
2024-09-12,0.3327,0.3494,0.3327,0.3472,2590829.0
2024-09-13,0.3473,0.3579,0.34,0.3533,3881256.0
2024-09-14,0.3534,0.3539,0.343,0.3462,2555937.0
2024-09-15,0.3462,0.3518,0.3305,0.3336,3189929.0
2024-09-16,0.3332,0.3362,0.3219,0.3251,2549582.0
2024-09-17,0.3248,0.3401,0.3213,0.3372,1913290.0
2024-09-18,0.3371,0.3464,0.3241,0.346,4239291.0
2024-09-19,0.3462,0.3709,0.3449,0.3623,8516183.0
2024-09-20,0.3624,0.3796,0.3558,0.3761,6344384.0
2024-09-21,0.3762,0.3902,0.3682,0.3895,6304043.0
2024-09-22,0.3896,0.3898,0.3656,0.3774,4418892.0
2024-09-23,0.3772,0.3918,0.3679,0.3788,7806509.0
2024-09-24,0.3789,0.3888,0.369,0.3861,5805740.0
