Date,Open,High,Low,Close,Volume
2024-09-01,1.362,1.371,1.257,1.287,4178577.37
2024-09-02,1.286,1.297,1.236,1.268,3846120.08
2024-09-03,1.268,1.287,1.169,1.172,3301754.68
2024-09-04,1.172,1.311,1.121,1.23,5004213.23
2024-09-05,1.23,1.236,1.161,1.162,2250849.13
2024-09-06,1.162,1.215,1.104,1.149,3304773.03
2024-09-07,1.149,1.211,1.145,1.18,1663179.92
2024-09-08,1.179,1.228,1.173,1.202,2008854.02
2024-09-09,1.201,1.286,1.193,1.26,2494356.95
2024-09-10,1.26,1.33,1.231,1.302,2368701.54
2024-09-11,1.303,1.306,1.205,1.255,2578287.25
2024-09-12,1.255,1.277,1.232,1.254,2171874.58
2024-09-13,1.255,1.335,1.22,1.321,2678806.82
2024-09-14,1.322,1.329,1.278,1.323,1551879.04
2024-09-15,1.323,1.349,1.275,1.282,2041529.17
2024-09-16,1.281,1.281,1.213,1.225,2656653.14
2024-09-17,1.225,1.487,1.214,1.394,9704838.83
2024-09-18,1.394,1.396,1.304,1.394,4416386.54
2024-09-19,1.394,1.54,1.359,1.501,5752711.9
2024-09-20,1.502,1.636,1.48,1.571,5367137.51
2024-09-21,1.57,1.661,1.509,1.654,2894421.02
2024-09-22,1.654,1.714,1.587,1.683,3087567.22
2024-09-23,1.683,1.869,1.645,1.804,8053140.47
2024-09-24,1.803,1.814,1.728,1.786,3794366.79
