Date,Open,High,Low,Close,Volume
2024-09-01,1.474,1.498,1.391,1.397,8836054.73
2024-09-02,1.396,1.492,1.367,1.462,12023461.2
2024-09-03,1.462,1.554,1.422,1.432,16197489.52
2024-09-04,1.432,1.563,1.361,1.5,15578019.12
2024-09-05,1.501,1.562,1.465,1.472,10062637.2
2024-09-06,1.472,1.615,1.413,1.5,14930192.0
2024-09-07,1.5,1.591,1.489,1.568,8038381.04
2024-09-08,1.569,1.664,1.563,1.615,8393405.38
2024-09-09,1.616,1.699,1.553,1.645,10605275.4
2024-09-10,1.646,1.7,1.611,1.675,6810772.1
2024-09-11,1.676,1.679,1.558,1.599,8876412.49
2024-09-12,1.599,1.718,1.599,1.701,8413537.94
2024-09-13,1.701,1.857,1.688,1.852,14217559.2
2024-09-14,1.853,1.862,1.742,1.771,6715759.13
2024-09-15,1.772,1.795,1.686,1.705,5900628.04
2024-09-16,1.706,1.787,1.685,1.735,9627570.49
2024-09-17,1.736,1.997,1.7,1.941,17693542.9
2024-09-18,1.942,2.099,1.799,2.08,18192778.72
2024-09-19,2.083,2.215,1.992,2.115,14206092.49
2024-09-20,2.116,2.217,1.934,1.977,16265676.9
2024-09-21,1.977,2.061,1.847,2.038,10585476.01
2024-09-22,2.038,2.118,1.894,1.978,10854365.77
2024-09-23,1.979,2.258,1.925,2.152,16986432.94
2024-09-24,2.153,2.23,2.05,2.166,10452627.2
