Date,Open,High,Low,Close,Volume
2024-09-01,0.3184,0.3193,0.295,0.298,2486649.7
2024-09-02,0.2979,0.316,0.2965,0.3121,4066090.95
2024-09-03,0.3122,0.3186,0.2946,0.2955,3549031.45
2024-09-04,0.2955,0.3098,0.2823,0.304,3609156.04
2024-09-05,0.3041,0.3078,0.2941,0.2957,2477129.59
2024-09-06,0.2956,0.3049,0.2809,0.2916,4770955.31
2024-09-07,0.2918,0.3041,0.2899,0.2992,1737410.52
2024-09-08,0.2993,0.3257,0.2983,0.3216,5126337.52
2024-09-09,0.3215,0.3381,0.3202,0.3309,4779491.26
2024-09-10,0.3312,0.3397,0.3264,0.3369,2231280.11
2024-09-11,0.337,0.3397,0.3184,0.3233,3198725.79
2024-09-12,0.3231,0.3347,0.323,0.3335,2634894.37
2024-09-13,0.3336,0.347,0.3275,0.3438,3218623.96
2024-09-14,0.344,0.3543,0.3411,0.3494,2581860.87
2024-09-15,0.3495,0.3497,0.3248,0.3287,2369172.88
2024-09-16,0.328,0.3348,0.3195,0.3248,1930820.84
2024-09-17,0.325,0.3383,0.3202,0.3288,1517565.81
2024-09-18,0.3286,0.34,0.3146,0.3396,2916535.91
2024-09-19,0.3399,0.3714,0.3399,0.3689,6038027.18
2024-09-20,0.3695,0.3961,0.3668,0.3821,7526595.5
2024-09-21,0.3821,0.3918,0.373,0.3869,4010153.33
2024-09-22,0.3865,0.3869,0.3647,0.377,3486355.33
2024-09-23,0.3773,0.3902,0.3683,0.3797,4812804.61
2024-09-24,0.3797,0.3925,0.3698,0.391,4808558.78
