Date,Open,High,Low,Close,Volume
2024-09-01,0.7425,0.7468,0.7026,0.705,12672622.8
2024-09-02,0.7047,0.7467,0.6994,0.7422,16076692.2
2024-09-03,0.7423,0.7587,0.7009,0.7029,13233948.2
2024-09-04,0.7028,0.7432,0.6705,0.7337,16986105.7
2024-09-05,0.7337,0.7393,0.6986,0.7076,11023239.8
2024-09-06,0.7073,0.7339,0.6587,0.6848,25350285.0
2024-09-07,0.6846,0.7098,0.6796,0.6979,10275035.3
2024-09-08,0.6979,0.7183,0.6897,0.7094,11712285.5
2024-09-09,0.7097,0.7486,0.6957,0.7359,21138409.3
2024-09-10,0.736,0.751,0.7216,0.7377,13371295.2
2024-09-11,0.7379,0.7389,0.6953,0.7188,19001934.6
2024-09-12,0.7187,0.7785,0.7184,0.7667,20356346.3
2024-09-13,0.7668,0.7872,0.7392,0.7826,12809389.3
2024-09-14,0.7826,0.7903,0.7621,0.7704,7887662.0
2024-09-15,0.7705,0.7758,0.7248,0.7321,9466516.6
2024-09-16,0.7321,0.7395,0.7127,0.7296,12751470.0
2024-09-17,0.7295,0.7552,0.7216,0.7317,14455483.5
2024-09-18,0.7317,0.7581,0.7046,0.7577,19924687.4
2024-09-19,0.7577,0.8239,0.7576,0.8025,28851691.8
2024-09-20,0.8026,0.8944,0.7886,0.8397,38012384.1
2024-09-21,0.8397,0.8622,0.8198,0.8588,10866374.5
2024-09-22,0.859,0.8675,0.8019,0.8244,15179813.2
2024-09-23,0.8246,0.8543,0.8017,0.818,25306116.4
2024-09-24,0.8179,0.9166,0.8045,0.9003,40245623.9
