Date,Open,High,Low,Close,Volume
2024-09-01,0.3463,0.3463,0.32,0.324,7462981.23
2024-09-02,0.3239,0.3429,0.3228,0.3411,6889269.08
2024-09-03,0.3409,0.3561,0.3326,0.3356,16031275.89
2024-09-04,0.3357,0.3442,0.3155,0.3421,13695881.16
2024-09-05,0.342,0.3449,0.3247,0.3296,8061545.56
2024-09-06,0.3295,0.3367,0.3042,0.3188,25469223.53
2024-09-07,0.3187,0.3303,0.3186,0.325,9555506.49
2024-09-08,0.325,0.3376,0.3237,0.3342,7221453.92
2024-09-09,0.3344,0.3529,0.3304,0.3497,11806698.76
2024-09-10,0.35,0.4048,0.3449,0.3937,70685336.96
2024-09-11,0.3937,0.4048,0.3739,0.3828,42345395.21
2024-09-12,0.3829,0.4029,0.3774,0.4012,32638449.74
2024-09-13,0.401,0.4235,0.3898,0.3973,44440336.7
2024-09-14,0.3976,0.4374,0.3968,0.4291,62830215.46
2024-09-15,0.4291,0.4451,0.3909,0.3952,37471947.13
2024-09-16,0.395,0.3953,0.3677,0.3738,28304991.46
2024-09-17,0.3736,0.3864,0.37,0.3736,22104344.32
2024-09-18,0.3736,0.3817,0.3543,0.3797,24599043.23
2024-09-19,0.3798,0.4224,0.3774,0.3943,29175021.68
2024-09-20,0.3948,0.4049,0.38,0.3936,15432667.81
2024-09-21,0.3935,0.3969,0.3815,0.3948,9812683.04
2024-09-22,0.3949,0.3961,0.373,0.3848,11836464.72
2024-09-23,0.385,0.3964,0.3758,0.3869,21332707.96
2024-09-24,0.3868,0.3948,0.3795,0.3921,12031147.88
