Date,Open,High,Low,Close,Volume
2024-09-01,0.2697,0.2698,0.2524,0.2538,5010105.0
2024-09-02,0.2537,0.2678,0.253,0.2653,5146249.0
2024-09-03,0.2652,0.2683,0.2541,0.2551,4798807.0
2024-09-04,0.2554,0.2678,0.242,0.2648,6695929.0
2024-09-05,0.2648,0.2666,0.2545,0.2583,4257225.0
2024-09-06,0.2579,0.2627,0.2388,0.2485,8732433.0
2024-09-07,0.2485,0.2599,0.2475,0.2545,3348582.0
2024-09-08,0.2547,0.2616,0.2533,0.258,3773368.0
2024-09-09,0.2583,0.2721,0.257,0.2676,5189870.0
2024-09-10,0.2676,0.2722,0.2638,0.27,5519433.0
2024-09-11,0.2702,0.2705,0.2578,0.2666,5356474.0
2024-09-12,0.2665,0.277,0.2665,0.2764,5247162.0
2024-09-13,0.2766,0.283,0.2736,0.2805,4083125.0
2024-09-14,0.2807,0.2812,0.2712,0.275,3239921.0
2024-09-15,0.2749,0.2789,0.2665,0.2692,3507732.0
2024-09-16,0.269,0.2712,0.2605,0.2646,4726293.0
2024-09-17,0.2645,0.2783,0.2621,0.2767,4305098.0
2024-09-18,0.277,0.2839,0.2654,0.2837,6482414.0
2024-09-19,0.2838,0.295,0.2837,0.2907,7467577.0
2024-09-20,0.2909,0.3011,0.2886,0.2969,5868790.0
2024-09-21,0.2967,0.318,0.2951,0.317,6179241.0
2024-09-22,0.317,0.3185,0.2985,0.3062,7252056.0
2024-09-23,0.306,0.3135,0.2995,0.3081,7043699.0
2024-09-24,0.3081,0.3165,0.302,0.3155,7279218.0
