Date,Open,High,Low,Close,Volume
2024-09-01,31.44,31.51,29.92,30.24,44884.167
2024-09-02,30.24,32.0,30.05,31.86,46616.746
2024-09-03,31.86,32.27,30.42,30.47,37875.815
2024-09-04,30.47,31.41,29.0,30.75,72342.662
2024-09-05,30.73,30.93,29.35,29.59,61406.105
2024-09-06,29.59,30.4,26.78,27.71,91277.74
2024-09-07,27.71,28.75,27.36,28.25,44585.015
2024-09-08,28.24,29.59,28.06,29.13,52344.199
2024-09-09,29.13,30.77,29.03,30.41,71917.727
2024-09-10,30.41,31.0,29.84,30.54,58551.85
2024-09-11,30.54,30.55,28.91,29.63,73462.292
2024-09-12,29.63,30.76,29.63,30.55,46272.631
2024-09-13,30.58,33.87,30.14,33.14,86061.366
2024-09-14,33.2,33.34,32.07,32.56,44474.121
2024-09-15,32.57,32.68,30.0,30.5,68679.123
2024-09-16,30.51,30.57,29.19,29.69,69351.955
2024-09-17,29.69,32.57,29.35,31.43,108646.739
2024-09-18,31.45,32.6,30.35,32.54,62483.322
2024-09-19,32.56,34.99,32.55,34.04,85114.871
2024-09-20,34.05,38.87,33.66,37.22,251757.039
2024-09-21,37.23,37.46,35.94,37.23,46624.779
2024-09-22,37.23,37.67,35.16,36.18,98855.494
2024-09-23,36.18,38.8,35.42,36.97,287678.959
2024-09-24,36.98,40.92,36.27,40.7,259294.325
