Date,Open,High,Low,Close,Volume
2024-09-01,9.104,9.127,8.614,8.665,164211.66
2024-09-02,8.662,9.373,8.604,9.316,202931.922
2024-09-03,9.311,9.419,8.842,8.957,260035.107
2024-09-04,8.955,9.394,8.512,9.183,281875.391
2024-09-05,9.185,9.193,8.582,8.734,212252.208
2024-09-06,8.732,9.049,8.153,8.493,251249.781
2024-09-07,8.482,8.803,8.417,8.601,92860.682
2024-09-08,8.601,9.07,8.549,8.913,119031.342
2024-09-09,8.92,9.21,8.807,9.065,263265.529
2024-09-10,9.072,9.362,8.939,9.31,237694.449
2024-09-11,9.304,9.33,8.908,9.103,244983.86
2024-09-12,9.1,9.399,9.018,9.382,308605.767
2024-09-13,9.384,9.897,9.262,9.793,308602.813
2024-09-14,9.795,9.873,9.466,9.737,206311.692
2024-09-15,9.75,9.976,9.289,9.422,221644.806
2024-09-16,9.413,9.579,8.898,9.151,267042.979
2024-09-17,9.152,9.618,9.034,9.587,157312.934
2024-09-18,9.584,9.934,9.17,9.884,399848.406
2024-09-19,9.888,10.355,9.888,10.147,309415.662
2024-09-20,10.147,10.82,9.988,10.687,289972.351
2024-09-21,10.686,10.737,10.344,10.562,135485.655
2024-09-22,10.558,10.57,9.794,10.126,228057.062
2024-09-23,10.129,10.787,9.916,10.577,257838.595
2024-09-24,10.582,11.096,10.309,10.996,219649.798
