Date,Open,High,Low,Close,Volume
2024-09-01,27.53,27.99,25.77,26.09,758255.79
2024-09-02,26.09,31.7,25.97,31.32,2312253.1
2024-09-03,31.33,32.86,30.4,30.98,2191811.51
2024-09-04,30.98,32.54,28.9,30.86,2668098.3
2024-09-05,30.87,31.26,28.52,28.87,1444870.01
2024-09-06,28.88,30.37,26.78,28.0,2003414.58
2024-09-07,28.01,29.85,27.59,28.49,1001834.84
2024-09-08,28.5,29.49,27.92,28.76,956297.9
2024-09-09,28.76,30.6,27.47,29.9,1544787.24
2024-09-10,29.9,31.38,29.19,30.33,793841.24
2024-09-11,30.34,30.45,28.4,29.49,1346219.65
2024-09-12,29.49,31.66,29.49,31.11,1371907.28
2024-09-13,31.11,33.74,30.58,33.12,1176592.49
2024-09-14,33.13,33.6,32.45,33.08,766001.59
2024-09-15,33.09,33.22,30.63,30.89,1126250.61
2024-09-16,30.89,31.11,29.52,30.19,1127248.71
2024-09-17,30.19,31.74,29.74,30.47,1170721.36
2024-09-18,30.48,31.95,28.85,31.69,1479872.17
2024-09-19,31.7,35.1,31.57,34.2,1769785.83
2024-09-20,34.21,35.59,33.27,34.23,1296483.52
2024-09-21,34.24,36.79,33.12,35.5,1150528.06
2024-09-22,35.5,35.55,32.17,33.41,1037893.63
2024-09-23,33.41,35.01,32.46,34.79,1214453.1
2024-09-24,34.82,36.29,33.65,35.96,1016791.68
