Date,Open,High,Low,Close,Volume
2024-09-01,0.5691,0.5699,0.5336,0.5382,1419817.68
2024-09-02,0.5381,0.5821,0.5331,0.5771,1907877.64
2024-09-03,0.5767,0.5918,0.5469,0.5472,1517996.59
2024-09-04,0.548,0.5755,0.5189,0.5657,2445566.03
2024-09-05,0.5645,0.5701,0.5311,0.5395,1872656.67
2024-09-06,0.5391,0.5603,0.5097,0.528,2342707.14
2024-09-07,0.5281,0.5492,0.5239,0.5315,1561123.34
2024-09-08,0.5315,0.5576,0.523,0.5481,1727422.99
2024-09-09,0.5494,0.5827,0.5485,0.5731,1999551.19
2024-09-10,0.5735,0.5918,0.5605,0.5819,1921981.82
2024-09-11,0.582,0.582,0.5429,0.565,1755450.99
2024-09-12,0.5653,0.5991,0.5649,0.5972,1411647.34
2024-09-13,0.597,0.6229,0.5872,0.6197,1871494.61
2024-09-14,0.6197,0.6244,0.6045,0.6177,1423615.86
2024-09-15,0.6174,0.6213,0.5848,0.5897,1232753.49
2024-09-16,0.5892,0.594,0.5522,0.5648,1629543.89
2024-09-17,0.565,0.5977,0.5524,0.5923,1756452.25
2024-09-18,0.5923,0.618,0.5726,0.6173,2300037.39
2024-09-19,0.618,0.6596,0.6173,0.657,2206545.31
2024-09-20,0.6586,0.6991,0.6416,0.6569,2810944.95
2024-09-21,0.6564,0.673,0.6419,0.6721,1366365.68
2024-09-22,0.6714,0.6722,0.6184,0.6384,1936560.92
2024-09-23,0.6385,0.6863,0.6252,0.6757,2430102.36
2024-09-24,0.6759,0.708,0.6664,0.6943,2789936.75
