Date,Open,High,Low,Close,Volume
2024-09-01,0.1967,0.2009,0.1913,0.1939,1706191.0
2024-09-02,0.194,0.2066,0.1915,0.2066,2012425.0
2024-09-03,0.2062,0.2118,0.1978,0.198,2793986.0
2024-09-04,0.1984,0.205,0.1886,0.2025,2332230.0
2024-09-05,0.2027,0.2035,0.1936,0.1946,2510575.0
2024-09-06,0.1946,0.201,0.1831,0.1886,4165962.0
2024-09-07,0.1886,0.1936,0.1857,0.1897,2014527.0
2024-09-08,0.1897,0.1976,0.1883,0.1969,1957135.0
2024-09-09,0.197,0.2112,0.1952,0.2108,2136916.0
2024-09-10,0.2111,0.2147,0.2057,0.2141,2034348.0
2024-09-11,0.2144,0.2144,0.203,0.2101,2098206.0
2024-09-12,0.2099,0.2165,0.2092,0.2155,1824996.0
2024-09-13,0.2155,0.2209,0.2116,0.2189,2193956.0
2024-09-14,0.2192,0.22,0.2119,0.2146,2242326.0
2024-09-15,0.2146,0.2184,0.203,0.203,1784638.0
2024-09-16,0.203,0.2036,0.1928,0.1953,1410705.0
2024-09-17,0.1953,0.2048,0.1935,0.2002,1005155.0
2024-09-18,0.2002,0.2048,0.1912,0.2043,1330743.0
2024-09-19,0.2043,0.2211,0.2043,0.2186,2514436.0
2024-09-20,0.2187,0.227,0.2134,0.2265,2867854.0
2024-09-21,0.2264,0.2304,0.2222,0.2303,1679436.0
2024-09-22,0.23,0.2312,0.2171,0.2236,1286245.0
2024-09-23,0.2234,0.2305,0.2198,0.2247,1233166.0
2024-09-24,0.2248,0.2312,0.2201,0.2288,1156947.0
