Date,Open,High,Low,Close,Volume
2024-09-01,0.2468,0.2479,0.2288,0.2312,10591014.2
2024-09-02,0.2309,0.26,0.2306,0.2537,12016613.8
2024-09-03,0.2538,0.2598,0.2359,0.2363,7236897.6
2024-09-04,0.2366,0.2523,0.2228,0.2459,7866718.5
2024-09-05,0.2458,0.2486,0.2345,0.2388,9283807.3
2024-09-06,0.2388,0.2503,0.2265,0.2356,14911095.5
2024-09-07,0.2354,0.2526,0.2342,0.2473,11068489.4
2024-09-08,0.2474,0.2651,0.245,0.2574,15175642.3
2024-09-09,0.2575,0.2679,0.2519,0.263,11511369.1
2024-09-10,0.2631,0.2651,0.2558,0.2607,9777793.0
2024-09-11,0.2607,0.2612,0.2475,0.2557,11447702.6
2024-09-12,0.2557,0.2679,0.2556,0.2667,10718449.0
2024-09-13,0.2664,0.2772,0.2607,0.2743,10507574.4
2024-09-14,0.2748,0.2795,0.2681,0.272,5743623.0
2024-09-15,0.272,0.2736,0.2533,0.2562,7971549.8
2024-09-16,0.2557,0.2586,0.2448,0.2487,10532364.1
2024-09-17,0.2487,0.2729,0.2437,0.2709,15132436.1
2024-09-18,0.2712,0.2889,0.2599,0.2816,19636164.6
2024-09-19,0.2819,0.3018,0.2796,0.2924,20294551.3
2024-09-20,0.2925,0.3081,0.2859,0.3006,17166229.6
2024-09-21,0.3005,0.305,0.2899,0.3036,8336456.9
2024-09-22,0.3036,0.3058,0.2762,0.2877,13884253.7
2024-09-23,0.2878,0.3163,0.2806,0.3136,22671614.9
2024-09-24,0.3137,0.3282,0.3045,0.3269,22727581.9
