Date,Open,High,Low,Close,Volume
2024-09-01,2.279,2.28,2.133,2.159,541681.7
2024-09-02,2.158,2.269,2.155,2.243,517243.7
2024-09-03,2.242,2.28,2.157,2.16,178987.9
2024-09-04,2.162,2.216,2.05,2.179,342880.3
2024-09-05,2.179,2.259,2.129,2.146,338433.7
2024-09-06,2.146,2.191,2.016,2.072,612436.7
2024-09-07,2.073,2.129,2.063,2.11,151052.2
2024-09-08,2.11,2.206,2.097,2.187,227138.9
2024-09-09,2.19,2.295,2.174,2.258,319711.6
2024-09-10,2.258,2.279,2.223,2.266,196987.4
2024-09-11,2.266,2.271,2.177,2.223,208707.6
2024-09-12,2.224,2.291,2.224,2.267,229796.7
2024-09-13,2.269,2.321,2.239,2.313,203239.1
2024-09-14,2.31,2.357,2.279,2.305,510548.9
2024-09-15,2.307,2.316,2.185,2.201,351142.2
2024-09-16,2.2,2.232,2.164,2.195,260647.5
2024-09-17,2.195,2.275,2.167,2.26,179101.4
2024-09-18,2.26,2.309,2.18,2.309,244754.2
2024-09-19,2.308,2.426,2.292,2.41,928979.0
2024-09-20,2.41,2.497,2.378,2.455,489641.1
2024-09-21,2.454,2.567,2.449,2.544,481962.3
2024-09-22,2.544,2.544,2.408,2.475,249556.6
2024-09-23,2.477,2.534,2.428,2.523,227485.7
2024-09-24,2.527,2.628,2.475,2.585,731565.4
