Date,Open,High,Low,Close,Volume
2024-09-01,0.03278,0.03294,0.0314,0.03174,23066544.0
2024-09-02,0.03175,0.03623,0.0317,0.03463,136848372.0
2024-09-03,0.03464,0.0439,0.03428,0.04103,256538248.0
2024-09-04,0.04104,0.04262,0.03515,0.03761,138313644.0
2024-09-05,0.03761,0.0388,0.03649,0.03776,59616639.0
2024-09-06,0.03776,0.05288,0.03719,0.04537,633343150.0
2024-09-07,0.04534,0.04561,0.04076,0.04155,240271066.0
2024-09-08,0.04153,0.0428,0.04002,0.04139,128350699.0
2024-09-09,0.04142,0.04186,0.0394,0.04092,110123022.0
2024-09-10,0.04093,0.0424,0.04029,0.04164,112219998.0
2024-09-11,0.04162,0.04522,0.04093,0.04409,273919382.0
2024-09-12,0.04408,0.04542,0.04227,0.04438,138352924.0
2024-09-13,0.04435,0.04558,0.0436,0.04456,62005267.0
2024-09-14,0.04459,0.04956,0.04417,0.04801,169324569.0
2024-09-15,0.04801,0.06175,0.04801,0.05476,505613194.0
2024-09-16,0.05476,0.05537,0.048,0.04972,227912945.0
2024-09-17,0.04973,0.05328,0.04749,0.04859,205719774.0
2024-09-18,0.04857,0.05096,0.04608,0.04863,134550971.0
2024-09-19,0.04863,0.04985,0.04754,0.04788,120758178.0
2024-09-20,0.04789,0.04915,0.0451,0.04638,98595722.0
2024-09-21,0.04638,0.04656,0.04514,0.04643,40119054.0
2024-09-22,0.0464,0.04648,0.04267,0.04407,66777243.0
2024-09-23,0.04407,0.0453,0.04294,0.04485,59633147.0
2024-09-24,0.04482,0.04532,0.04304,0.04451,55436102.0
