Date,Open,High,Low,Close,Volume
2024-09-01,0.2845,0.2866,0.2644,0.2664,45462133.7
2024-09-02,0.2664,0.2861,0.2638,0.2846,49349286.4
2024-09-03,0.2846,0.2903,0.2627,0.2634,49747625.4
2024-09-04,0.2636,0.2769,0.2516,0.2732,61554413.1
2024-09-05,0.2732,0.2818,0.264,0.2657,60155498.8
2024-09-06,0.2656,0.2803,0.2512,0.2632,96897811.2
2024-09-07,0.2631,0.273,0.2617,0.2669,47972236.2
2024-09-08,0.2669,0.2858,0.2654,0.2812,78607694.3
2024-09-09,0.2811,0.3023,0.274,0.2955,107205412.0
2024-09-10,0.2955,0.2996,0.2888,0.2942,63002233.5
2024-09-11,0.2943,0.2975,0.2724,0.283,87661842.8
2024-09-12,0.2831,0.3092,0.2831,0.3029,106722937.5
2024-09-13,0.3029,0.3132,0.2917,0.3049,71742740.0
2024-09-14,0.305,0.3104,0.2951,0.299,44016295.9
2024-09-15,0.299,0.3172,0.2955,0.2993,113483045.8
2024-09-16,0.2993,0.2993,0.2657,0.2708,135541088.9
2024-09-17,0.2708,0.2915,0.2649,0.2779,103622615.0
2024-09-18,0.2779,0.3117,0.2621,0.3106,139921303.7
2024-09-19,0.3108,0.345,0.3103,0.3355,183689269.5
2024-09-20,0.3355,0.366,0.3267,0.3526,169136666.5
2024-09-21,0.3526,0.3996,0.3511,0.391,158501059.1
2024-09-22,0.391,0.3912,0.3596,0.3717,125625281.5
2024-09-23,0.3719,0.4,0.3601,0.3654,151766634.9
2024-09-24,0.3654,0.4382,0.3619,0.4332,170852406.3
