Date,Open,High,Low,Close,Volume
2024-09-01,1.335,1.345,1.25,1.262,1440298.0
2024-09-02,1.261,1.341,1.253,1.327,1165563.4
2024-09-03,1.327,1.352,1.267,1.281,1066459.2
2024-09-04,1.282,1.401,1.215,1.364,2656253.4
2024-09-05,1.364,1.37,1.265,1.275,2068412.7
2024-09-06,1.276,1.305,1.183,1.236,2663210.1
2024-09-07,1.236,1.307,1.228,1.265,1855376.0
2024-09-08,1.265,1.307,1.249,1.289,1147868.1
2024-09-09,1.29,1.369,1.289,1.348,2229928.9
2024-09-10,1.35,1.423,1.332,1.405,1787751.8
2024-09-11,1.405,1.429,1.348,1.366,3233958.8
2024-09-12,1.367,1.409,1.355,1.387,1321340.3
2024-09-13,1.387,1.47,1.376,1.461,2440527.0
2024-09-14,1.462,1.468,1.424,1.438,1099043.3
2024-09-15,1.438,1.479,1.348,1.366,1523962.1
2024-09-16,1.366,1.395,1.312,1.325,1738701.8
2024-09-17,1.325,1.423,1.305,1.417,1771432.2
2024-09-18,1.419,1.449,1.323,1.448,2522652.7
2024-09-19,1.448,1.536,1.444,1.49,2834385.6
2024-09-20,1.49,1.591,1.474,1.582,2577778.6
2024-09-21,1.582,1.627,1.545,1.617,2008931.7
2024-09-22,1.617,1.618,1.488,1.528,2069141.4
2024-09-23,1.528,1.638,1.499,1.597,2305396.6
2024-09-24,1.596,1.702,1.568,1.678,3278925.8
