Date,Open,High,Low,Close,Volume
2024-09-01,0.04068,0.04115,0.03947,0.03973,23488852.5
2024-09-02,0.03972,0.04106,0.03936,0.04077,16135367.0
2024-09-03,0.04077,0.04126,0.0389,0.03903,23086875.1
2024-09-04,0.03903,0.04085,0.03732,0.03964,22316875.4
2024-09-05,0.03964,0.03968,0.03829,0.03854,20260106.8
2024-09-06,0.03854,0.04055,0.03701,0.03802,29771420.6
2024-09-07,0.03803,0.03971,0.03755,0.03951,23245319.7
2024-09-08,0.0395,0.04049,0.03924,0.04018,20131747.0
2024-09-09,0.04018,0.04216,0.03988,0.04199,25368882.5
2024-09-10,0.04199,0.04241,0.04152,0.04223,14158856.7
2024-09-11,0.04223,0.04364,0.04147,0.04308,30801134.0
2024-09-12,0.04305,0.04482,0.04259,0.04393,25086917.2
2024-09-13,0.04397,0.05199,0.04377,0.04521,122011306.8
2024-09-14,0.04521,0.04527,0.04344,0.04384,24526862.9
2024-09-15,0.04384,0.0439,0.04194,0.04219,18940508.9
2024-09-16,0.0422,0.06421,0.04216,0.04878,687316009.5
2024-09-17,0.04875,0.05172,0.04631,0.04937,150627577.9
2024-09-18,0.04934,0.04934,0.04518,0.04734,55208054.5
2024-09-19,0.04734,0.04849,0.04568,0.04757,59802249.0
2024-09-20,0.04757,0.04783,0.0462,0.04732,31730579.6
2024-09-21,0.04732,0.05073,0.04646,0.05037,92685314.7
2024-09-22,0.05037,0.05185,0.04656,0.04793,41329503.9
2024-09-23,0.04794,0.05015,0.04712,0.04859,37918111.0
2024-09-24,0.04858,0.04858,0.046,0.04798,22050012.2
