Date,Open,High,Low,Close,Volume
2024-09-01,1.521,1.528,1.418,1.438,4866689.2
2024-09-02,1.438,1.519,1.43,1.514,6234528.0
2024-09-03,1.514,1.555,1.411,1.416,4856598.7
2024-09-04,1.416,1.49,1.356,1.465,6143032.2
2024-09-05,1.466,1.481,1.366,1.38,5102733.8
2024-09-06,1.38,1.449,1.316,1.366,8373711.0
2024-09-07,1.365,1.423,1.36,1.387,2240395.3
2024-09-08,1.388,1.439,1.374,1.419,3992967.9
2024-09-09,1.419,1.543,1.407,1.519,5515427.4
2024-09-10,1.52,1.65,1.505,1.611,6558035.3
2024-09-11,1.611,1.614,1.52,1.575,8850016.3
2024-09-12,1.574,1.656,1.574,1.638,6120449.6
2024-09-13,1.639,1.663,1.577,1.648,6736234.7
2024-09-14,1.649,1.652,1.584,1.609,4020895.5
2024-09-15,1.61,1.617,1.538,1.553,4384178.5
2024-09-16,1.553,1.553,1.47,1.49,5800970.4
2024-09-17,1.49,1.597,1.471,1.524,5467646.3
2024-09-18,1.524,1.567,1.476,1.567,7873625.2
2024-09-19,1.568,1.743,1.548,1.687,14776701.6
2024-09-20,1.687,1.809,1.665,1.745,9928073.0
2024-09-21,1.745,1.773,1.715,1.759,4890002.4
2024-09-22,1.759,1.763,1.66,1.73,4611587.2
2024-09-23,1.73,1.875,1.686,1.846,14240985.8
2024-09-24,1.846,1.985,1.816,1.961,15258961.8
