Date,Open,High,Low,Close,Volume
2024-09-01,0.7961,0.8129,0.756,0.7606,31744602.4
2024-09-02,0.7606,0.799,0.7415,0.7871,49959677.0
2024-09-03,0.7869,0.8376,0.78,0.7853,70342965.8
2024-09-04,0.7853,0.8339,0.7487,0.8089,84941125.8
2024-09-05,0.809,0.8403,0.78,0.7971,57948202.9
2024-09-06,0.7969,0.888,0.7889,0.8376,133475992.0
2024-09-07,0.8377,0.918,0.8288,0.8914,86081760.4
2024-09-08,0.8914,0.9865,0.8842,0.9393,121487123.5
2024-09-09,0.9393,0.974,0.8948,0.9581,99835988.8
2024-09-10,0.9581,0.9711,0.9093,0.9179,67158179.2
2024-09-11,0.918,0.9335,0.8663,0.9301,77852429.6
2024-09-12,0.9301,1.0711,0.9272,1.0395,172554812.2
2024-09-13,1.0395,1.0485,0.9927,1.0275,77659545.6
2024-09-14,1.0275,1.0692,1.0031,1.0445,70951080.9
2024-09-15,1.0445,1.142,1.041,1.0787,119458567.7
2024-09-16,1.0787,1.13,1.0227,1.0419,121959331.6
2024-09-17,1.042,1.1907,1.0177,1.1694,138968931.6
2024-09-18,1.1694,1.3182,1.1423,1.3141,158333097.3
2024-09-19,1.3142,1.411,1.3078,1.379,143053971.8
2024-09-20,1.3794,1.5769,1.3483,1.4698,194812369.3
2024-09-21,1.4699,1.5125,1.4323,1.4816,74460372.8
2024-09-22,1.4817,1.6341,1.421,1.5848,140413689.7
2024-09-23,1.585,1.6466,1.5088,1.5348,122618733.6
2024-09-24,1.5348,1.7929,1.4931,1.743,161221042.4
