Date,Open,High,Low,Close,Volume
2024-09-01,0.2013,0.202,0.1906,0.1921,3709001.5
2024-09-02,0.1921,0.2024,0.1909,0.2001,4350707.5
2024-09-03,0.2003,0.2026,0.1915,0.1919,3038808.1
2024-09-04,0.1919,0.2,0.1821,0.1975,4092257.4
2024-09-05,0.1974,0.1989,0.1896,0.1907,2061057.2
2024-09-06,0.1909,0.1938,0.1756,0.1806,5495133.2
2024-09-07,0.1807,0.1852,0.1789,0.1832,2973765.3
2024-09-08,0.1833,0.1911,0.1825,0.1883,2219029.5
2024-09-09,0.1885,0.2014,0.1877,0.1995,5054938.9
2024-09-10,0.1994,0.2028,0.1962,0.2011,3588713.4
2024-09-11,0.2013,0.2129,0.1937,0.2059,8403100.4
2024-09-12,0.206,0.2102,0.2014,0.2101,3844394.6
2024-09-13,0.21,0.215,0.2062,0.2134,4501707.5
2024-09-14,0.2137,0.2139,0.2082,0.2106,1953060.0
2024-09-15,0.2106,0.2135,0.2032,0.2046,1762236.0
2024-09-16,0.2045,0.207,0.1942,0.1962,3687518.9
2024-09-17,0.1961,0.2022,0.1943,0.2002,3053714.3
2024-09-18,0.2003,0.21,0.1938,0.2097,6467028.3
2024-09-19,0.2096,0.333,0.2096,0.3186,162579777.2
2024-09-20,0.3186,0.365,0.2875,0.2947,134626981.9
2024-09-21,0.2944,0.2947,0.2631,0.2759,46576217.1
2024-09-22,0.2759,0.2759,0.2505,0.2587,23550175.0
2024-09-23,0.2587,0.2669,0.2528,0.2644,13868497.8
2024-09-24,0.2646,0.2744,0.2589,0.2721,18920306.1
