Date,Open,High,Low,Close,Volume
2024-09-01,0.05725,0.05726,0.05414,0.05488,7860161.0
2024-09-02,0.0549,0.05643,0.05406,0.05643,9893634.0
2024-09-03,0.05643,0.0573,0.05297,0.0532,17836741.0
2024-09-04,0.0532,0.05507,0.05101,0.05461,13223890.0
2024-09-05,0.0546,0.05535,0.0526,0.05359,9565902.0
2024-09-06,0.05355,0.05431,0.05049,0.05247,16321214.0
2024-09-07,0.05249,0.05587,0.05216,0.05262,34169805.0
2024-09-08,0.05264,0.05724,0.05206,0.05675,40113025.0
2024-09-09,0.05682,0.05734,0.05505,0.05688,22096902.0
2024-09-10,0.05691,0.05701,0.05535,0.05657,11377638.0
2024-09-11,0.05656,0.05673,0.05464,0.0557,12957107.0
2024-09-12,0.05573,0.05702,0.0554,0.0569,7204770.0
2024-09-13,0.05697,0.06059,0.05654,0.06023,38140918.0
2024-09-14,0.06026,0.06764,0.06006,0.06271,85165162.0
2024-09-15,0.06275,0.06285,0.05913,0.06039,28943236.0
2024-09-16,0.06043,0.0656,0.05969,0.06105,85199061.0
2024-09-17,0.06102,0.062,0.05923,0.06135,20970008.0
2024-09-18,0.06141,0.06422,0.05775,0.06246,30640237.0
2024-09-19,0.06249,0.06341,0.05935,0.06311,35698904.0
2024-09-20,0.06313,0.065,0.06007,0.06407,25119606.0
2024-09-21,0.06407,0.0715,0.06382,0.06839,90738652.0
2024-09-22,0.0684,0.06848,0.06475,0.06725,19778833.0
2024-09-23,0.06738,0.069,0.06557,0.06801,15019434.0
2024-09-24,0.06801,0.06991,0.06504,0.06745,25051298.0
