Date,Open,High,Low,Close,Volume
2024-09-01,2.661,2.679,2.364,2.404,2101871.9
2024-09-02,2.401,2.603,2.391,2.574,501744.2
2024-09-03,2.574,2.629,2.44,2.452,530738.6
2024-09-04,2.452,2.53,2.278,2.49,621589.4
2024-09-05,2.487,2.505,2.365,2.405,345802.7
2024-09-06,2.405,2.468,2.223,2.312,692179.2
2024-09-07,2.311,2.419,2.29,2.365,357582.6
2024-09-08,2.367,2.482,2.356,2.434,413158.5
2024-09-09,2.435,2.573,2.427,2.541,360075.1
2024-09-10,2.543,2.601,2.503,2.562,386380.9
2024-09-11,2.566,2.567,2.432,2.512,397544.0
2024-09-12,2.51,2.603,2.51,2.591,355720.5
2024-09-13,2.59,2.763,2.548,2.691,938576.5
2024-09-14,2.692,2.747,2.643,2.684,523733.6
2024-09-15,2.684,2.689,2.507,2.532,469642.3
2024-09-16,2.533,2.567,2.406,2.45,526988.4
2024-09-17,2.447,2.602,2.427,2.506,712942.2
2024-09-18,2.509,2.598,2.395,2.594,558679.0
2024-09-19,2.597,2.696,2.575,2.628,701400.5
2024-09-20,2.631,2.758,2.578,2.658,840348.3
2024-09-21,2.655,2.881,2.624,2.84,1366847.0
2024-09-22,2.84,2.844,2.558,2.663,1015616.2
2024-09-23,2.664,2.764,2.61,2.719,896547.2
2024-09-24,2.721,2.77,2.668,2.75,568541.4
