Date,Open,High,Low,Close,Volume
2024-09-01,2630.72,2644.1,2518.17,2545.47,301.2455
2024-09-02,2543.77,2694.99,2528.75,2660.46,441.8463
2024-09-03,2660.12,2677.91,2525.08,2538.64,225.7196
2024-09-04,2543.65,2615.57,2403.12,2568.46,638.8724
2024-09-05,2568.35,2584.25,2462.18,2480.54,252.3042
2024-09-06,2480.44,2524.71,2237.1,2332.49,812.4795
2024-09-07,2331.98,2420.86,2325.17,2384.67,222.7254
2024-09-08,2386.21,2444.82,2351.26,2406.56,220.4742
2024-09-09,2406.57,2503.0,2383.12,2475.59,368.113
2024-09-10,2473.47,2513.25,2434.55,2503.26,245.121
2024-09-11,2503.31,2504.96,2382.05,2452.11,468.474
2024-09-12,2452.11,2506.43,2427.15,2474.92,289.5894
2024-09-13,2476.88,2582.79,2450.34,2561.71,221.3054
2024-09-14,2557.33,2561.02,2490.35,2533.88,261.3172
2024-09-15,2535.74,2549.51,2386.42,2432.27,241.1451
2024-09-16,2428.72,2448.72,2363.52,2408.31,395.9676
2024-09-17,2408.03,2512.57,2373.86,2456.44,262.3773
2024-09-18,2454.46,2491.77,2392.37,2488.56,507.7831
2024-09-19,2491.58,2618.63,2487.63,2586.4,924.8004
2024-09-20,2586.35,2699.47,2560.6,2683.69,727.8301
2024-09-21,2687.63,2756.41,2653.29,2742.28,425.304
2024-09-22,2742.37,2760.64,2650.59,2706.52,494.7029
2024-09-23,2707.42,2834.66,2667.22,2779.1,529.1705
2024-09-24,2780.05,2806.93,2721.18,2784.62,532.0034
