Date,Open,High,Low,Close,Volume
2024-09-01,1.49,1.512,1.383,1.401,12269427.9
2024-09-02,1.401,1.495,1.389,1.477,14731542.5
2024-09-03,1.477,1.515,1.402,1.406,12549076.8
2024-09-04,1.405,1.473,1.317,1.425,18728684.8
2024-09-05,1.425,1.442,1.365,1.388,11151887.0
2024-09-06,1.388,1.436,1.284,1.336,19028223.7
2024-09-07,1.337,1.376,1.318,1.346,6932997.8
2024-09-08,1.347,1.415,1.34,1.396,7667738.3
2024-09-09,1.397,1.492,1.382,1.46,13589940.7
2024-09-10,1.46,1.486,1.425,1.47,9846330.4
2024-09-11,1.471,1.474,1.36,1.374,14240576.5
2024-09-12,1.374,1.62,1.372,1.54,33216510.1
2024-09-13,1.54,1.545,1.459,1.52,23434717.7
2024-09-14,1.521,1.555,1.488,1.511,11415815.6
2024-09-15,1.512,1.582,1.454,1.471,15511576.1
2024-09-16,1.471,1.476,1.385,1.414,13525376.0
2024-09-17,1.415,1.51,1.397,1.476,12945114.1
2024-09-18,1.477,1.561,1.424,1.559,18020682.8
2024-09-19,1.559,1.653,1.538,1.597,27349237.2
2024-09-20,1.597,1.689,1.565,1.619,21612664.2
2024-09-21,1.619,1.655,1.567,1.645,12263346.3
2024-09-22,1.646,1.66,1.513,1.562,15281263.3
2024-09-23,1.563,1.787,1.52,1.709,43375604.7
2024-09-24,1.709,1.845,1.657,1.812,35267719.0
