Date,Open,High,Low,Close,Volume
2024-09-01,3.057e-05,3.07e-05,2.901e-05,2.931e-05,26512323721.0
2024-09-02,2.926e-05,3.084e-05,2.926e-05,3.062e-05,32230384886.0
2024-09-03,3.064e-05,3.111e-05,2.961e-05,2.968e-05,44304484143.0
2024-09-04,2.968e-05,3.082e-05,2.831e-05,3.018e-05,43115211777.0
2024-09-05,3.018e-05,3.055e-05,2.914e-05,2.945e-05,27866813411.0
2024-09-06,2.943e-05,3.038e-05,2.77e-05,2.892e-05,44402853959.0
2024-09-07,2.891e-05,2.983e-05,2.873e-05,2.932e-05,20302572127.0
2024-09-08,2.933e-05,3.125e-05,2.917e-05,3.062e-05,105528469214.0
2024-09-09,3.063e-05,3.202e-05,3.049e-05,3.168e-05,84203179594.0
2024-09-10,3.168e-05,3.213e-05,3.111e-05,3.189e-05,38145483759.0
2024-09-11,3.19e-05,3.264e-05,3.065e-05,3.181e-05,57834942987.0
2024-09-12,3.182e-05,3.221e-05,3.129e-05,3.19e-05,29401819047.0
2024-09-13,3.19e-05,3.272e-05,3.142e-05,3.262e-05,29113822994.0
2024-09-14,3.264e-05,3.311e-05,3.156e-05,3.198e-05,38368115025.0
2024-09-15,3.198e-05,3.215e-05,3.049e-05,3.077e-05,32002389244.0
2024-09-16,3.077e-05,3.108e-05,3.002e-05,3.037e-05,29123582224.0
2024-09-17,3.036e-05,3.165e-05,3.016e-05,3.101e-05,41400813739.0
2024-09-18,3.102e-05,3.181e-05,2.96e-05,3.177e-05,44509540184.0
2024-09-19,3.179e-05,3.302e-05,3.166e-05,3.254e-05,56801291928.0
2024-09-20,3.254e-05,3.354e-05,3.205e-05,3.316e-05,48137016759.0
2024-09-21,3.316e-05,3.403e-05,3.265e-05,3.399e-05,45517567115.0
2024-09-22,3.398e-05,3.488e-05,3.22e-05,3.319e-05,66614145838.0
2024-09-23,3.321e-05,3.378e-05,3.241e-05,3.35e-05,40698685301.0
2024-09-24,3.348e-05,3.417e-05,3.279e-05,3.401e-05,54511085801.0
