Date,Open,High,Low,Close,Volume
2024-09-01,0.659,0.661,0.624,0.63,855203.6
2024-09-02,0.631,0.661,0.628,0.656,1725733.0
2024-09-03,0.656,0.665,0.622,0.624,991116.6
2024-09-04,0.624,0.652,0.598,0.64,1640745.2
2024-09-05,0.639,0.643,0.611,0.617,1623220.1
2024-09-06,0.618,0.63,0.577,0.598,2164995.0
2024-09-07,0.597,0.617,0.593,0.607,973311.5
2024-09-08,0.607,0.624,0.603,0.618,1404583.7
2024-09-09,0.619,0.648,0.616,0.643,2004148.9
2024-09-10,0.643,0.651,0.633,0.645,1529059.1
2024-09-11,0.645,0.645,0.617,0.631,1283389.7
2024-09-12,0.632,0.647,0.628,0.645,1178071.8
2024-09-13,0.645,0.661,0.642,0.657,1481029.6
2024-09-14,0.657,0.658,0.643,0.65,620193.0
2024-09-15,0.65,0.655,0.623,0.628,818363.3
2024-09-16,0.628,0.637,0.618,0.628,2288729.7
2024-09-17,0.628,0.645,0.622,0.637,2055862.3
2024-09-18,0.637,0.652,0.617,0.65,1356388.3
2024-09-19,0.65,0.685,0.65,0.679,1219014.1
2024-09-20,0.681,0.698,0.673,0.693,1989368.9
2024-09-21,0.693,0.708,0.691,0.705,1827174.4
2024-09-22,0.706,0.706,0.673,0.692,756066.1
2024-09-23,0.693,0.714,0.682,0.698,3925470.4
2024-09-24,0.698,0.717,0.684,0.711,1783907.8
