Date,Open,High,Low,Close,Volume
2024-09-01,32.19,32.54,29.08,29.4,102684.945
2024-09-02,29.38,29.79,28.22,29.49,140785.091
2024-09-03,29.53,30.38,28.69,28.76,80444.091
2024-09-04,28.77,30.0,27.3,29.59,92630.644
2024-09-05,29.57,29.83,28.71,28.9,47090.038
2024-09-06,28.88,29.4,26.16,26.97,259940.106
2024-09-07,26.99,28.99,26.92,27.75,81843.987
2024-09-08,27.76,28.13,27.15,27.73,83337.358
2024-09-09,27.72,29.47,27.4,29.36,103650.865
2024-09-10,29.36,31.19,29.0,30.82,100653.821
2024-09-11,30.82,30.83,29.13,29.64,136638.481
2024-09-12,29.66,30.41,29.19,29.37,75119.694
2024-09-13,29.33,30.86,29.29,30.54,60750.264
2024-09-14,30.55,31.1,30.13,30.59,31399.282
2024-09-15,30.59,31.6,29.02,29.22,52477.105
2024-09-16,29.21,29.64,28.69,29.15,67181.166
2024-09-17,29.1,30.69,28.9,29.81,40881.365
2024-09-18,29.82,30.66,28.96,30.61,43079.458
2024-09-19,30.64,32.34,30.5,31.62,82861.447
2024-09-20,31.61,32.54,30.26,31.28,57055.385
2024-09-21,31.28,31.56,30.48,31.34,30346.639
2024-09-22,31.34,31.45,29.39,30.19,61055.313
2024-09-23,30.23,31.06,28.61,29.63,81049.946
2024-09-24,29.62,30.09,28.8,29.36,64575.531
