Date,Open,High,Low,Close,Volume
2024-09-01,1.445,1.527,1.372,1.385,717268.4
2024-09-02,1.385,1.479,1.377,1.478,233842.6
2024-09-03,1.478,1.489,1.399,1.405,652306.7
2024-09-04,1.405,1.459,1.365,1.436,481721.3
2024-09-05,1.438,1.448,1.362,1.368,393245.5
2024-09-06,1.369,1.413,1.317,1.353,392569.2
2024-09-07,1.351,1.387,1.34,1.374,180733.2
2024-09-08,1.373,1.415,1.366,1.412,138515.0
2024-09-09,1.412,1.493,1.405,1.48,265746.3
2024-09-10,1.481,1.506,1.462,1.505,288861.2
2024-09-11,1.503,1.504,1.438,1.484,321782.7
2024-09-12,1.483,1.505,1.48,1.5,239634.3
2024-09-13,1.5,1.543,1.486,1.535,245847.5
2024-09-14,1.537,1.537,1.509,1.524,159999.4
2024-09-15,1.524,1.535,1.421,1.427,192314.6
2024-09-16,1.424,1.426,1.369,1.394,332251.4
2024-09-17,1.393,1.417,1.377,1.396,245530.7
2024-09-18,1.395,1.41,1.355,1.41,196928.5
