Date,Open,High,Low,Close,Volume
2024-09-01,0.086,0.0871,0.0833,0.0841,7056889.0
2024-09-02,0.0841,0.0884,0.0824,0.0883,6462532.0
2024-09-03,0.0882,0.0891,0.0837,0.0837,6455057.0
2024-09-04,0.0837,0.0878,0.0805,0.0843,17491854.0
2024-09-05,0.0844,0.0848,0.0825,0.0832,7833889.0
2024-09-06,0.0832,0.0856,0.0804,0.082,7772223.0
2024-09-07,0.082,0.0838,0.0812,0.083,6027542.0
2024-09-08,0.083,0.0855,0.0825,0.0855,6700979.0
2024-09-09,0.0854,0.0888,0.0844,0.0888,8617253.0
2024-09-10,0.0887,0.1159,0.0873,0.1025,176998523.0
2024-09-11,0.1025,0.105,0.095,0.0969,72562364.0
2024-09-12,0.0969,0.0984,0.0939,0.0962,31353983.0
2024-09-13,0.0963,0.1006,0.0941,0.0967,29110093.0
2024-09-14,0.0966,0.0973,0.0919,0.094,12317175.0
2024-09-15,0.094,0.1033,0.0928,0.1001,63114437.0
2024-09-16,0.1001,0.1063,0.0913,0.0939,60056333.0
2024-09-17,0.0939,0.0984,0.0921,0.0981,22958840.0
2024-09-18,0.0981,0.0984,0.0904,0.0964,25682649.0
