Date,Open,High,Low,Close,Volume
2024-09-01,0.378,0.383,0.349,0.356,10279388.6
2024-09-02,0.355,0.396,0.353,0.387,10724410.1
2024-09-03,0.386,0.395,0.356,0.357,9739206.6
2024-09-04,0.357,0.372,0.336,0.363,12089654.5
2024-09-05,0.363,0.368,0.341,0.346,7690591.3
2024-09-06,0.346,0.379,0.335,0.351,17453009.2
2024-09-07,0.35,0.366,0.342,0.348,8667075.5
2024-09-08,0.347,0.38,0.346,0.371,9300008.1
2024-09-09,0.371,0.391,0.357,0.382,13175256.3
2024-09-10,0.382,0.39,0.37,0.386,10553727.3
2024-09-11,0.386,0.386,0.359,0.369,18938572.4
2024-09-12,0.368,0.395,0.368,0.394,15655999.8
2024-09-13,0.393,0.407,0.383,0.399,13674658.3
2024-09-14,0.398,0.413,0.391,0.393,12210687.7
2024-09-15,0.393,0.404,0.368,0.373,11039481.0
2024-09-16,0.373,0.385,0.354,0.36,11875919.0
2024-09-17,0.36,0.404,0.354,0.399,17074153.7
2024-09-18,0.399,0.416,0.387,0.415,22805663.0
