Date,Open,High,Low,Close,Volume
2024-09-01,0.972,0.975,0.908,0.918,1130466.29
2024-09-02,0.917,0.982,0.916,0.974,1047867.18
2024-09-03,0.975,0.988,0.91,0.913,1633437.52
2024-09-04,0.913,0.965,0.862,0.947,1432463.63
2024-09-05,0.946,0.953,0.91,0.917,942395.83
2024-09-06,0.918,0.944,0.849,0.881,1497886.47
2024-09-07,0.88,0.973,0.872,0.949,2896632.54
2024-09-08,0.949,1.019,0.936,0.955,3847636.12
2024-09-09,0.957,1.0,0.947,0.988,1951755.68
2024-09-10,0.987,1.014,0.97,0.999,1127861.39
2024-09-11,0.999,1.004,0.952,0.985,1366675.22
2024-09-12,0.985,1.009,0.976,0.996,914388.78
2024-09-13,0.996,1.047,0.977,1.032,1194332.11
2024-09-14,1.033,1.034,0.999,1.005,969370.34
2024-09-15,1.005,1.028,0.95,0.961,1036376.01
2024-09-16,0.961,0.973,0.913,0.924,1331066.17
2024-09-17,0.924,0.98,0.915,0.962,978299.64
2024-09-18,0.96,1.02,0.93,1.017,1578374.83
