Date,Open,High,Low,Close,Volume
2024-09-01,0.1732,0.1772,0.1635,0.1658,27305747.4
2024-09-02,0.1657,0.1816,0.1644,0.1798,22248225.7
2024-09-03,0.1799,0.1807,0.1682,0.1701,14093844.6
2024-09-04,0.1703,0.1712,0.1555,0.1622,20698802.0
2024-09-05,0.1621,0.1655,0.1554,0.1602,12688644.7
2024-09-06,0.1601,0.1721,0.1576,0.1666,73274474.3
2024-09-07,0.1665,0.1768,0.1665,0.1705,27603855.9
2024-09-08,0.1705,0.1809,0.1651,0.1733,19668087.9
2024-09-09,0.1733,0.1816,0.1702,0.179,14256749.6
2024-09-10,0.179,0.1804,0.1738,0.1781,9417634.6
2024-09-11,0.1782,0.1785,0.1622,0.1685,12245373.7
2024-09-12,0.1685,0.1772,0.1684,0.1731,13158910.4
2024-09-13,0.173,0.1892,0.1681,0.1857,23870181.1
2024-09-14,0.1858,0.1921,0.1736,0.177,35216955.1
2024-09-15,0.1771,0.1834,0.1658,0.168,18016623.9
2024-09-16,0.1679,0.1683,0.1513,0.152,22234734.0
2024-09-17,0.152,0.1669,0.1517,0.1648,16341845.3
2024-09-18,0.1648,0.1677,0.1527,0.1675,14673070.1
