Date,Open,High,Low,Close,Volume
2024-09-01,0.00717,0.00719,0.0065,0.00656,166834676.0
2024-09-02,0.00655,0.00739,0.00655,0.00724,254694123.0
2024-09-03,0.00724,0.00735,0.00685,0.0069,160432727.0
2024-09-04,0.0069,0.00726,0.00655,0.00713,228886289.0
2024-09-05,0.00713,0.00715,0.00679,0.00692,100859564.0
2024-09-06,0.0069,0.00704,0.00626,0.00653,256344570.0
2024-09-07,0.00653,0.00682,0.00647,0.00669,99316697.0
2024-09-08,0.00668,0.00721,0.00665,0.00706,172904316.0
2024-09-09,0.00707,0.00759,0.00702,0.00744,131180832.0
2024-09-10,0.00744,0.00749,0.0072,0.00733,147224438.0
2024-09-11,0.00734,0.00734,0.00693,0.00711,141332080.0
2024-09-12,0.0071,0.00754,0.0071,0.00747,140401712.0
2024-09-13,0.00747,0.00755,0.00722,0.00748,110238758.0
2024-09-14,0.0075,0.00752,0.00723,0.00741,85237497.0
2024-09-15,0.0074,0.00748,0.00698,0.00707,73591931.0
2024-09-16,0.00705,0.00707,0.00656,0.00662,148765465.0
2024-09-17,0.00663,0.0073,0.00661,0.00696,184897018.0
2024-09-18,0.00697,0.0073,0.00669,0.00728,161768654.0
