Date,Open,High,Low,Close,Volume
2024-09-01,0.02379,0.02388,0.02272,0.02291,46314028.6
2024-09-02,0.0229,0.02425,0.02284,0.02411,56597962.9
2024-09-03,0.02412,0.02445,0.02304,0.02315,28142536.3
2024-09-04,0.02315,0.02378,0.02193,0.02332,75326479.3
2024-09-05,0.02332,0.02352,0.02228,0.02252,70254077.7
2024-09-06,0.02251,0.02316,0.02094,0.0219,84017545.4
2024-09-07,0.02191,0.02249,0.02169,0.02198,30113641.1
2024-09-08,0.02199,0.02287,0.02178,0.02261,40329784.3
2024-09-09,0.02261,0.0244,0.02253,0.02401,235612411.0
2024-09-10,0.02403,0.02459,0.02353,0.02409,71904178.3
2024-09-11,0.02411,0.02442,0.0232,0.02435,60732537.4
2024-09-12,0.02436,0.0255,0.02431,0.02535,103162160.3
2024-09-13,0.02535,0.02584,0.02509,0.0257,77711775.9
2024-09-14,0.0257,0.02586,0.02516,0.02535,49246243.6
2024-09-15,0.02535,0.0257,0.02459,0.02482,56447366.9
2024-09-16,0.02482,0.02545,0.0242,0.02449,69190261.1
2024-09-17,0.02449,0.02552,0.02409,0.02533,54526071.9
2024-09-18,0.02536,0.02629,0.02454,0.02629,68217052.8
