Date,Open,High,Low,Close,Volume
2024-09-01,21.64,21.85,20.52,20.78,333338.94
2024-09-02,20.78,21.95,20.48,21.7,180661.83
2024-09-03,21.7,22.24,20.45,20.58,322728.42
2024-09-04,20.58,21.63,19.43,21.29,479420.77
2024-09-05,21.3,21.69,20.68,21.03,256357.59
2024-09-06,21.02,21.9,19.62,20.0,471043.89
2024-09-07,20.0,20.82,19.2,19.48,320144.04
2024-09-08,19.48,20.61,19.44,20.16,490325.02
2024-09-09,20.17,21.16,19.81,20.82,756013.92
2024-09-10,20.83,20.85,19.73,19.91,802936.78
2024-09-11,19.91,20.38,18.62,20.01,1217847.94
2024-09-12,20.01,20.8,19.58,20.04,878592.54
2024-09-13,20.04,20.57,19.54,20.39,695922.74
2024-09-14,20.4,20.87,19.75,20.02,618596.37
2024-09-15,20.03,20.33,18.78,19.03,759634.12
2024-09-16,19.04,19.36,18.59,18.94,452835.16
2024-09-17,18.95,19.38,18.18,18.57,917495.91
2024-09-18,18.57,19.21,17.77,19.18,897596.21
