Date,Open,High,Low,Close,Volume
2024-09-01,0.0623,0.0624,0.0586,0.0591,69332838.9
2024-09-02,0.059,0.0617,0.0585,0.0616,85671549.4
2024-09-03,0.0615,0.0633,0.0573,0.0574,92598836.4
2024-09-04,0.0575,0.0601,0.0544,0.0572,167936594.5
2024-09-05,0.0571,0.0576,0.0519,0.0525,169641505.3
2024-09-06,0.0525,0.054,0.0491,0.051,178730156.9
2024-09-07,0.0511,0.0528,0.0505,0.0517,52103658.7
2024-09-08,0.0517,0.0533,0.0507,0.0525,67927469.7
2024-09-09,0.0525,0.0556,0.0522,0.0548,109186927.6
2024-09-10,0.0548,0.0576,0.0538,0.0566,94683672.9
2024-09-11,0.0567,0.0574,0.0539,0.0569,135094539.5
2024-09-12,0.0569,0.0593,0.0565,0.0591,82877206.1
2024-09-13,0.0592,0.0606,0.0574,0.06,80813259.1
2024-09-14,0.06,0.0616,0.059,0.0611,50162463.9
2024-09-15,0.0611,0.0624,0.0581,0.0586,54294000.1
2024-09-16,0.0586,0.0595,0.0574,0.0587,63064825.2
2024-09-17,0.0587,0.0635,0.0576,0.0628,116142952.8
2024-09-18,0.0627,0.0638,0.058,0.0635,132110608.5
