Date,Open,High,Low,Close,Volume
2024-09-01,4.706,4.722,4.393,4.449,412080.78
2024-09-02,4.445,4.727,4.438,4.68,488765.51
2024-09-03,4.677,4.729,4.44,4.456,478018.49
2024-09-04,4.456,4.631,4.278,4.545,450828.92
2024-09-05,4.546,4.562,4.387,4.445,302383.02
2024-09-06,4.441,4.523,4.096,4.208,804328.22
2024-09-07,4.206,4.339,4.16,4.257,200366.05
2024-09-08,4.257,4.388,4.206,4.34,276764.53
2024-09-09,4.34,4.571,4.313,4.528,479223.15
2024-09-10,4.529,4.592,4.453,4.555,318828.91
2024-09-11,4.559,4.569,4.39,4.54,627996.61
2024-09-12,4.542,4.74,4.542,4.719,427747.11
2024-09-13,4.719,4.855,4.644,4.82,484544.8
2024-09-14,4.821,4.915,4.689,4.754,377151.35
2024-09-15,4.757,4.77,4.542,4.58,293955.4
2024-09-16,4.58,4.589,4.443,4.492,523376.84
2024-09-17,4.49,4.732,4.463,4.652,766526.52
2024-09-18,4.653,4.754,4.459,4.75,427650.56
