Date,Open,High,Low,Close,Volume
2024-09-01,2.705,2.722,2.53,2.557,297413.48
2024-09-02,2.554,2.701,2.552,2.68,248791.81
2024-09-03,2.679,2.775,2.584,2.587,852633.16
2024-09-04,2.593,2.702,2.409,2.628,716013.79
2024-09-05,2.628,2.649,2.502,2.519,286501.46
2024-09-06,2.519,2.633,2.367,2.456,671253.62
2024-09-07,2.459,2.506,2.423,2.453,261009.65
2024-09-08,2.45,2.544,2.406,2.511,222594.3
2024-09-09,2.509,2.68,2.5,2.642,617378.62
2024-09-10,2.644,2.738,2.597,2.724,250761.25
2024-09-11,2.724,2.741,2.594,2.678,302983.57
2024-09-12,2.68,2.797,2.68,2.773,371838.16
2024-09-13,2.772,2.84,2.707,2.817,333844.29
2024-09-14,2.82,2.853,2.765,2.816,171037.9
2024-09-15,2.815,2.836,2.64,2.693,201410.56
2024-09-16,2.689,2.729,2.607,2.64,252909.59
2024-09-17,2.64,2.801,2.61,2.798,221441.53
2024-09-18,2.799,2.893,2.716,2.892,386449.49
