Date,Open,High,Low,Close,Volume
2024-09-01,0.163,0.1631,0.1561,0.1577,3065203.0
2024-09-02,0.1577,0.1663,0.1568,0.1652,3084903.0
2024-09-03,0.1656,0.1675,0.1583,0.1588,3641090.0
2024-09-04,0.1588,0.1655,0.1514,0.1616,4473434.0
2024-09-05,0.1616,0.1624,0.1567,0.158,2495558.0
2024-09-06,0.1578,0.1602,0.1475,0.1529,5002854.0
2024-09-07,0.1529,0.1585,0.1523,0.1562,2591555.0
2024-09-08,0.156,0.1602,0.1549,0.1582,4135492.0
2024-09-09,0.1583,0.1662,0.1576,0.1644,3564807.0
2024-09-10,0.1646,0.1683,0.1628,0.1669,3290795.0
2024-09-11,0.167,0.1683,0.1616,0.1674,3635277.0
2024-09-12,0.1674,0.1731,0.167,0.1728,3132456.0
2024-09-13,0.1728,0.1759,0.1698,0.175,2969135.0
2024-09-14,0.175,0.1751,0.1708,0.173,2388559.0
2024-09-15,0.1731,0.1764,0.1699,0.1712,3511152.0
2024-09-16,0.171,0.1747,0.1671,0.168,6734045.0
2024-09-17,0.168,0.1754,0.1664,0.1743,3761589.0
2024-09-18,0.1743,0.1774,0.1676,0.1769,3993288.0
