Date,Open,High,Low,Close,Volume
2024-09-01,8.5e-07,8.6e-07,8.1e-07,8.1e-07,1372527837729.0
2024-09-02,8.1e-07,8.3e-07,8e-07,8.3e-07,1437151460925.0
2024-09-03,8.3e-07,8.4e-07,8e-07,8e-07,1251539580349.0
2024-09-04,8.1e-07,8.1e-07,7.7e-07,8.1e-07,1291848748718.0
2024-09-05,8e-07,8.3e-07,7.8e-07,7.9e-07,1490655028107.0
2024-09-06,7.9e-07,8e-07,7.6e-07,7.7e-07,1633928327404.0
2024-09-07,7.7e-07,8e-07,7.7e-07,7.9e-07,866687834121.0
2024-09-08,7.8e-07,9.6e-07,7.8e-07,9.1e-07,19093790186941.0
2024-09-09,9.1e-07,9.4e-07,8.7e-07,9.1e-07,6711133438963.0
2024-09-10,9.1e-07,9.4e-07,8.8e-07,9e-07,4138495551288.0
2024-09-11,8.9e-07,9e-07,8.6e-07,8.7e-07,2007059734583.0
2024-09-12,8.8e-07,8.9e-07,8.6e-07,8.8e-07,1292429165438.0
2024-09-13,8.8e-07,8.9e-07,8.5e-07,8.8e-07,1478422284399.0
2024-09-14,8.8e-07,9e-07,8.6e-07,8.8e-07,1519944565463.0
2024-09-15,8.7e-07,8.8e-07,8.5e-07,8.5e-07,1453575909413.0
2024-09-16,8.5e-07,8.6e-07,8.3e-07,8.4e-07,1546109203196.0
2024-09-17,8.4e-07,9.1e-07,8.3e-07,8.7e-07,4960058007058.0
2024-09-18,8.7e-07,8.9e-07,8.5e-07,8.8e-07,1979969240049.0
