Date,Open,High,Low,Close,Volume
2024-09-01,0.2832,0.2836,0.2625,0.2654,96562306.8
2024-09-02,0.2653,0.2843,0.2651,0.2802,93299880.9
2024-09-03,0.28,0.2834,0.2611,0.2616,71997373.8
2024-09-04,0.2617,0.2973,0.2496,0.2909,136624415.5
2024-09-05,0.291,0.2966,0.2774,0.2791,101185541.7
2024-09-06,0.2791,0.2843,0.2565,0.2614,119024253.5
2024-09-07,0.2614,0.2679,0.2551,0.2569,73580054.5
2024-09-08,0.257,0.2783,0.2549,0.2759,93033033.0
2024-09-09,0.2759,0.2892,0.2723,0.2825,116668429.6
2024-09-10,0.2825,0.2874,0.2705,0.2798,75318521.1
2024-09-11,0.2799,0.2854,0.2672,0.2753,91852939.1
2024-09-12,0.2754,0.2844,0.2706,0.284,57442679.6
2024-09-13,0.2839,0.2874,0.2741,0.284,61572503.0
2024-09-14,0.2841,0.2845,0.2729,0.2752,50405006.6
2024-09-15,0.2752,0.2789,0.2625,0.2649,59757763.7
2024-09-16,0.265,0.2681,0.258,0.2631,74787315.9
2024-09-17,0.263,0.2768,0.2595,0.2698,59052813.1
2024-09-18,0.2697,0.2844,0.2545,0.2837,89731114.5
