Date,Open,High,Low,Close,Volume
2024-09-01,0.0064,0.00645,0.00623,0.00626,91510576.9
2024-09-02,0.00625,0.0065,0.00619,0.00648,83849103.1
2024-09-03,0.00648,0.00659,0.00622,0.00624,100403383.9
2024-09-04,0.00623,0.0065,0.006,0.00639,89099386.7
2024-09-05,0.00639,0.00642,0.00621,0.00627,54154290.1
2024-09-06,0.00627,0.00639,0.00598,0.00613,86539153.8
2024-09-07,0.00614,0.00632,0.00612,0.0062,34440899.8
2024-09-08,0.0062,0.00635,0.00618,0.00631,57173451.0
2024-09-09,0.00631,0.0066,0.00629,0.00651,97819415.0
2024-09-10,0.0065,0.00653,0.00636,0.00643,58687039.8
2024-09-11,0.00643,0.00644,0.00625,0.00639,49960274.7
2024-09-12,0.00639,0.00653,0.00634,0.00644,57796837.5
2024-09-13,0.00643,0.0066,0.00635,0.00657,51765594.9
2024-09-14,0.00657,0.00676,0.00655,0.00671,57980594.2
2024-09-15,0.00671,0.00686,0.0065,0.00656,66258605.7
2024-09-16,0.00655,0.00656,0.00625,0.00632,45319947.9
2024-09-17,0.00632,0.00654,0.00632,0.00649,45784823.3
2024-09-18,0.00649,0.00661,0.00632,0.0066,72939834.0
