Date,Open,High,Low,Close,Volume
2024-09-01,4.259,4.259,4.032,4.068,2516218.02
2024-09-02,4.068,4.234,4.051,4.208,2199151.08
2024-09-03,4.209,4.285,4.056,4.062,2045219.35
2024-09-04,4.063,4.197,3.868,4.111,4271469.46
2024-09-05,4.111,4.127,3.973,4.021,1907467.81
2024-09-06,4.022,4.096,3.818,3.959,3968575.54
2024-09-07,3.96,4.133,3.935,4.079,1686608.94
2024-09-08,4.08,4.208,4.059,4.161,1503933.15
2024-09-09,4.162,4.341,4.111,4.286,2798131.43
2024-09-10,4.286,4.289,4.197,4.251,1848659.47
2024-09-11,4.25,4.257,4.058,4.191,2947171.99
2024-09-12,4.192,4.3,4.189,4.294,2205112.48
2024-09-13,4.294,4.472,4.27,4.42,3251739.87
2024-09-14,4.42,4.445,4.344,4.437,1857961.23
2024-09-15,4.437,4.558,4.355,4.393,2920077.53
2024-09-16,4.393,4.393,4.148,4.196,3152928.3
2024-09-17,4.195,4.288,4.127,4.157,3322360.31
2024-09-18,4.158,4.178,3.973,4.176,4814848.56
