Date,Open,High,Low,Close,Volume
2024-09-01,1.318,1.324,1.228,1.24,1363260.1
2024-09-02,1.239,1.306,1.225,1.289,1528024.0
2024-09-03,1.288,1.316,1.192,1.195,1473636.7
2024-09-04,1.195,1.282,1.13,1.256,1995034.0
2024-09-05,1.256,1.286,1.214,1.222,1724655.0
2024-09-06,1.222,1.309,1.147,1.212,2717806.4
2024-09-07,1.211,1.303,1.208,1.276,2111838.0
2024-09-08,1.276,1.344,1.256,1.326,1961190.0
2024-09-09,1.325,1.416,1.298,1.395,2028927.5
2024-09-10,1.395,1.453,1.374,1.415,2296163.1
2024-09-11,1.414,1.417,1.287,1.306,2666406.1
2024-09-12,1.307,1.423,1.285,1.4,2846248.4
2024-09-13,1.401,1.488,1.343,1.476,2808405.3
2024-09-14,1.476,1.539,1.431,1.458,2715330.7
2024-09-15,1.457,1.515,1.409,1.427,2364933.4
2024-09-16,1.425,1.467,1.295,1.324,3003485.9
2024-09-17,1.324,1.685,1.297,1.648,11663796.8
2024-09-18,1.647,1.68,1.571,1.644,7960105.6
