Date,Open,High,Low,Close,Volume
2024-09-01,0.3799,0.3887,0.3617,0.368,12477934.8
2024-09-02,0.368,0.3793,0.359,0.3787,13125014.4
2024-09-03,0.3788,0.3807,0.3598,0.3646,12900624.7
2024-09-04,0.3646,0.374,0.3448,0.3652,15284926.2
2024-09-05,0.3652,0.3654,0.3489,0.3568,11710005.4
2024-09-06,0.3571,0.3576,0.3393,0.3473,13180460.0
2024-09-07,0.3474,0.3541,0.3433,0.3514,9162298.5
2024-09-08,0.3515,0.37,0.3484,0.3611,11931262.9
2024-09-09,0.361,0.3702,0.3574,0.368,14405578.5
2024-09-10,0.368,0.3753,0.36,0.3726,12496538.1
2024-09-11,0.3727,0.374,0.3637,0.3697,12473483.9
2024-09-12,0.3696,0.3755,0.3682,0.3747,6310685.4
2024-09-13,0.3747,0.3804,0.369,0.3802,13125132.4
2024-09-14,0.3801,0.3806,0.3715,0.3741,8924135.9
2024-09-15,0.3741,0.3767,0.3608,0.3627,9927634.0
2024-09-16,0.3627,0.3628,0.3485,0.3528,12257897.3
2024-09-17,0.3528,0.3634,0.351,0.359,9809189.8
2024-09-18,0.3588,0.3607,0.3492,0.3602,3550010.5
