Date,Open,High,Low,Close,Volume
2024-09-01,0.1385,0.1396,0.1307,0.1322,6215319.5
2024-09-02,0.1319,0.1386,0.1317,0.1381,6437809.8
2024-09-03,0.138,0.1461,0.1334,0.1337,19557352.7
2024-09-04,0.1336,0.1407,0.1277,0.1391,12611952.6
2024-09-05,0.1391,0.1399,0.1326,0.1341,7727239.3
2024-09-06,0.1341,0.1391,0.1272,0.1318,15490665.8
2024-09-07,0.1318,0.1342,0.1299,0.1329,8628910.3
2024-09-08,0.1329,0.1395,0.1323,0.1379,6335117.3
2024-09-09,0.138,0.1496,0.1369,0.148,14475987.1
2024-09-10,0.148,0.1498,0.1448,0.1476,9085638.7
2024-09-11,0.1476,0.1477,0.1366,0.1422,11232422.0
2024-09-12,0.1421,0.1458,0.1411,0.1446,7042249.1
2024-09-13,0.1445,0.1517,0.1417,0.1496,12454922.0
2024-09-14,0.1496,0.1505,0.1451,0.147,4914243.4
2024-09-15,0.147,0.1488,0.1355,0.1373,7115193.1
2024-09-16,0.1371,0.1394,0.1329,0.1345,7893608.2
2024-09-17,0.1344,0.141,0.1329,0.1389,5717533.7
2024-09-18,0.139,0.1454,0.1333,0.1452,8951057.0
